date,actual,pred
2023-01-03,43958357615.00006,42998060000.0
2023-01-04,44127094146.00004,42583610000.0
2023-01-05,45538771422.00004,42307383000.0
2023-01-06,45414990209.0,42115523000.0
2023-01-09,45476455544.99999,42025170000.0
2023-01-10,46419044434.99992,42032624000.0
2023-01-11,45447265307.00006,42138020000.0
2023-01-12,45389332313.99993,42241585000.0
2023-01-13,46285497505.000084,42432560000.0
2023-01-17,46022069946.00007,42583368000.0
2023-01-18,45834950699.00003,42799555000.0
2023-01-19,46940091153.99999,43050578000.0
2023-01-20,47233171331.00004,43243975000.0
2023-01-23,46231187963.99997,43472056000.0
2023-01-24,47342129446.00005,43741286000.0
2023-01-25,49345943883.0,43982730000.0
2023-01-26,52400204554.99996,44203580000.0
2023-01-27,52730865745.00003,44418250000.0
2023-01-30,53441531942.99995,44640010000.0
2023-01-31,53285606261.99993,44822335000.0
2023-02-01,51108635928.99996,45035626000.0
2023-02-02,48207980969.99996,45298123000.0
2023-02-03,46282248241.99998,45801150000.0
2023-02-06,44719184686.99992,46310200000.0
2023-02-07,43562799279.000046,46748074000.0
2023-02-08,43500501349.999985,47113916000.0
2023-02-09,42957308613.99995,47394763000.0
2023-02-10,43275014068.00005,47587975000.0
2023-02-13,44341231576.999954,47640375000.0
2023-02-14,44152038934.999985,47519950000.0
2023-02-15,43754971090.000046,47323130000.0
2023-02-16,42868863654.000046,47063170000.0
2023-02-17,42299444749.99993,46802768000.0
2023-02-21,43382797414.00006,46552680000.0
2023-02-22,43880916925.99996,46313470000.0
2023-02-23,44886122000.99996,46066080000.0
2023-02-24,45675937405.999985,45821157000.0
2023-02-27,46287295500.00008,45540516000.0
2023-02-28,45592907400.00007,45240963000.0
2023-03-01,45003656529.99999,45073097000.0
2023-03-02,44843687389.00006,44949983000.0
2023-03-03,47340633261.99992,44898226000.0
2023-03-06,51049463033.00003,44884530000.0
2023-03-07,52584022977.99996,44855770000.0
2023-03-08,56378940066.00004,44863304000.0
2023-03-09,58069501303.99991,44846625000.0
2023-03-10,63385436493.99996,44853637000.0
2023-03-13,61044964541.000015,45021975000.0
2023-03-14,59756669071.99997,45394650000.0
2023-03-15,56934151580.999985,45862510000.0
2023-03-16,55647892214.00003,46433670000.0
2023-03-17,47613431726.999954,47004946000.0
2023-03-20,45755507473.0,47778513000.0
2023-03-21,44013769342.00001,48467360000.0
2023-03-22,43130272154.99993,49011370000.0
2023-03-23,41982197265.999985,49378062000.0
2023-03-24,42963042877.99994,49614460000.0
2023-03-27,43611726601.99996,49670990000.0
2023-03-28,43979341122.999954,49559794000.0
2023-03-29,43651047117.999985,49267340000.0
2023-03-30,42333777365.00007,48858310000.0
2023-03-31,40134120474.99999,48394203000.0
2023-04-03,39339719715.000015,47987294000.0
2023-04-04,39609754253.00004,47613485000.0
2023-04-05,39765545784.99998,47213683000.0
2023-04-06,40587457071.00002,46798664000.0
2023-04-10,41356832961.00001,46303310000.0
2023-04-11,41520236972.99994,45770932000.0
2023-04-12,41542862304.999954,45265560000.0
2023-04-13,41465292679.00007,44806177000.0
2023-04-14,41771578134.000046,44418250000.0
2023-04-17,41686657993.999954,44065944000.0
2023-04-18,42242685783.99997,43772084000.0
2023-04-19,42943150756.000046,43529056000.0
2023-04-20,43799244591.00001,43334468000.0
2023-04-21,44911565766.00006,43181416000.0
2023-04-24,45268995951.99996,43051070000.0
2023-04-25,46424347047.00006,42918908000.0
2023-04-26,47285448857.00001,42836468000.0
2023-04-27,47813729920.000046,42837287000.0
2023-04-28,46990106481.99996,42879304000.0
2023-05-01,46280068919.99996,42999534000.0
2023-05-02,44186210093.000046,43066670000.0
2023-05-03,43165993539.000015,43274590000.0
2023-05-04,41762541043.00003,43557380000.0
2023-05-05,40768208667.00003,43869710000.0
2023-05-08,40433211488.00001,44121706000.0
2023-05-09,40234250426.99999,44266775000.0
2023-05-10,39689795611.00003,44308840000.0
2023-05-11,39963148614.99993,44339530000.0
2023-05-12,40312175717.99994,44301320000.0
2023-05-15,40790575983.00002,44177530000.0
2023-05-16,41527920444.99998,43961090000.0
2023-05-17,40964440744.99996,43715682000.0
2023-05-18,41259256885.99999,43505400000.0
2023-05-19,41399567976.000046,43330666000.0
2023-05-22,42473362649.00001,43176063000.0
2023-05-23,46186764935.00008,43022012000.0
2023-05-24,47284092870.99996,42894844000.0
2023-05-25,47334967092.999985,42763325000.0
2023-05-26,47315193424.00008,42689820000.0
2023-05-30,47078838805.000015,42628550000.0
2023-05-31,44702719777.99998,42627166000.0
2023-06-01,43987267800.00006,42861970000.0
2023-06-02,43331438945.999954,43108340000.0
2023-06-05,43862608913.99999,43354560000.0
2023-06-06,44821605011.000046,43527148000.0
2023-06-07,44999356539.00007,43678675000.0
2023-06-08,46579566445.99997,43862348000.0
2023-06-09,53541461798.00007,43977363000.0
2023-06-12,54223072365.000084,44026960000.0
2023-06-13,53326536434.000015,44042920000.0
2023-06-14,51358960547.99999,44128862000.0
2023-06-15,55952964281.00003,44263735000.0
2023-06-16,48677381848.999985,44456137000.0
2023-06-20,47984980168.99992,44989870000.0
