date,actual,pred
2023-01-03,43958357615.00006,43651273000.0
2023-01-04,44127094146.00004,43373750000.0
2023-01-05,45538771422.00004,43157950000.0
2023-01-06,45414990209.0,43029150000.0
2023-01-09,45476455544.99999,42933890000.0
2023-01-10,46419044434.99992,42943144000.0
2023-01-11,45447265307.00006,42996500000.0
2023-01-12,45389332313.99993,43055423000.0
2023-01-13,46285497505.000084,43118457000.0
2023-01-17,46022069946.00007,43157950000.0
2023-01-18,45834950699.00003,43283087000.0
2023-01-19,46940091153.99999,43463107000.0
2023-01-20,47233171331.00004,43606508000.0
2023-01-23,46231187963.99997,43750800000.0
2023-01-24,47342129446.00005,43934855000.0
2023-01-25,49345943883.0,44091924000.0
2023-01-26,52400204554.99996,44236220000.0
2023-01-27,52730865745.00003,44371170000.0
2023-01-30,53441531942.99995,44510610000.0
2023-01-31,53285606261.99993,44671013000.0
2023-02-01,51108635928.99996,44831568000.0
2023-02-02,48207980969.99996,44976656000.0
2023-02-03,46282248241.99998,45336500000.0
2023-02-06,44719184686.99992,45712216000.0
2023-02-07,43562799279.000046,46078743000.0
2023-02-08,43500501349.999985,46368887000.0
2023-02-09,42957308613.99995,46647783000.0
2023-02-10,43275014068.00005,46897490000.0
2023-02-13,44341231576.999954,47031046000.0
2023-02-14,44152038934.999985,47019565000.0
2023-02-15,43754971090.000046,46905180000.0
2023-02-16,42868863654.000046,46708503000.0
2023-02-17,42299444749.99993,46577550000.0
2023-02-21,43382797414.00006,46431105000.0
2023-02-22,43880916925.99996,46362874000.0
2023-02-23,44886122000.99996,46224425000.0
2023-02-24,45675937405.999985,46042810000.0
2023-02-27,46287295500.00008,45834793000.0
2023-02-28,45592907400.00007,45580837000.0
2023-03-01,45003656529.99999,45426610000.0
2023-03-02,44843687389.00006,45293715000.0
2023-03-03,47340633261.99992,45184910000.0
2023-03-06,51049463033.00003,45092960000.0
2023-03-07,52584022977.99996,44999135000.0
2023-03-08,56378940066.00004,44973820000.0
2023-03-09,58069501303.99991,44925043000.0
2023-03-10,63385436493.99996,44997250000.0
2023-03-13,61044964541.000015,45217500000.0
2023-03-14,59756669071.99997,45589533000.0
2023-03-15,56934151580.999985,45953843000.0
2023-03-16,55647892214.00003,46431190000.0
2023-03-17,47613431726.999954,46830182000.0
2023-03-20,45755507473.0,47403897000.0
2023-03-21,44013769342.00001,47992783000.0
2023-03-22,43130272154.99993,48396235000.0
2023-03-23,41982197265.999985,48703853000.0
2023-03-24,42963042877.99994,48940470000.0
2023-03-27,43611726601.99996,49009600000.0
2023-03-28,43979341122.999954,48929178000.0
2023-03-29,43651047117.999985,48707010000.0
2023-03-30,42333777365.00007,48383865000.0
2023-03-31,40134120474.99999,48025104000.0
2023-04-03,39339719715.000015,47703847000.0
2023-04-04,39609754253.00004,47398380000.0
2023-04-05,39765545784.99998,47077716000.0
2023-04-06,40587457071.00002,46751375000.0
2023-04-10,41356832961.00001,46325486000.0
2023-04-11,41520236972.99994,45897957000.0
2023-04-12,41542862304.999954,45491640000.0
2023-04-13,41465292679.00007,45091070000.0
2023-04-14,41771578134.000046,44708688000.0
2023-04-17,41686657993.999954,44343083000.0
2023-04-18,42242685783.99997,44040065000.0
2023-04-19,42943150756.000046,43782690000.0
2023-04-20,43799244591.00001,43556130000.0
2023-04-21,44911565766.00006,43400806000.0
2023-04-24,45268995951.99996,43246040000.0
2023-04-25,46424347047.00006,43094690000.0
2023-04-26,47285448857.00001,43033910000.0
2023-04-27,47813729920.000046,43043107000.0
2023-04-28,46990106481.99996,43025707000.0
2023-05-01,46280068919.99996,43056243000.0
2023-05-02,44186210093.000046,43061416000.0
2023-05-03,43165993539.000015,43230695000.0
2023-05-04,41762541043.00003,43464598000.0
2023-05-05,40768208667.00003,43755475000.0
2023-05-08,40433211488.00001,43913994000.0
2023-05-09,40234250426.99999,44002110000.0
2023-05-10,39689795611.00003,44046365000.0
2023-05-11,39963148614.99993,44064936000.0
2023-05-12,40312175717.99994,44035450000.0
2023-05-15,40790575983.00002,43946672000.0
2023-05-16,41527920444.99998,43789790000.0
2023-05-17,40964440744.99996,43636457000.0
2023-05-18,41259256885.99999,43470070000.0
2023-05-19,41399567976.000046,43314717000.0
2023-05-22,42473362649.00001,43205310000.0
2023-05-23,46186764935.00008,43100780000.0
2023-05-24,47284092870.99996,43042943000.0
2023-05-25,47334967092.999985,43007082000.0
2023-05-26,47315193424.00008,42969770000.0
2023-05-30,47078838805.000015,42913014000.0
2023-05-31,44702719777.99998,42892310000.0
2023-06-01,43987267800.00006,43054273000.0
2023-06-02,43331438945.999954,43183804000.0
2023-06-05,43862608913.99999,43293573000.0
2023-06-06,44821605011.000046,43368042000.0
2023-06-07,44999356539.00007,43416130000.0
2023-06-08,46579566445.99997,43498350000.0
2023-06-09,53541461798.00007,43535536000.0
2023-06-12,54223072365.000084,43541680000.0
2023-06-13,53326536434.000015,43562280000.0
2023-06-14,51358960547.99999,43621730000.0
2023-06-15,55952964281.00003,43692920000.0
2023-06-16,48677381848.999985,43828390000.0
2023-06-20,47984980168.99992,44153190000.0
2023-06-21,47356503260.99993,44498220000.0
2023-06-22,47402269215.00003,44765176000.0
2023-06-23,41484041735.00008,44912275000.0
2023-06-26,38523469982.00007,45221294000.0
2023-06-27,38841156951.99996,45459110000.0
2023-06-28,40404073927.00003,45596920000.0
2023-06-29,41100368498.00002,45634160000.0
2023-06-30,41248015447.99999,45582578000.0
2023-07-03,44787274301.00005,45474898000.0
2023-07-05,45018701416.99999,45080924000.0
2023-07-06,44235289544.99995,44781660000.0
2023-07-07,44473641131.000015,44588020000.0
2023-07-10,43940627406.999954,44376590000.0
2023-07-11,44383963991.99996,44221202000.0
2023-07-12,44482139566.99998,44054934000.0
2023-07-13,44325351549.99993,43920527000.0
2023-07-14,44342467717.000015,43818865000.0
2023-07-17,44084864776.00008,43694010000.0
2023-07-18,43523083104.00001,43623640000.0
2023-07-19,42469992701.99999,43570920000.0
2023-07-20,43251851371.99998,43584720000.0
2023-07-21,42644055379.999985,43598107000.0
2023-07-24,44192132316.0,43594450000.0
2023-07-25,44574285759.99993,43583807000.0
2023-07-26,46176550444.99997,43551564000.0
2023-07-27,46837528741.0,43468743000.0
2023-07-28,47926207185.00005,43463934000.0
2023-07-31,46882142904.999954,43407593000.0
2023-08-01,47402325611.99999,43411407000.0
2023-08-02,47092455201.99992,43366466000.0
2023-08-03,46647293864.99999,43505570000.0
2023-08-04,45573988156.99994,43696340000.0
2023-08-07,45274401220.00002,43940390000.0
2023-08-08,44362986072.00005,44003290000.0
2023-08-09,44960563834.99999,44158070000.0
2023-08-10,44294739306.00005,44304360000.0
2023-08-11,44569542541.99993,44475388000.0
2023-08-14,44519663009.99997,44561998000.0
2023-08-15,43957247702.000015,44573647000.0
2023-08-16,41792692658.99996,44675527000.0
2023-08-17,40627649746.00007,44723188000.0
2023-08-18,39197086626.99994,44785586000.0
2023-08-21,37732521224.0,44818915000.0
2023-08-22,38079523135.000015,44787552000.0
2023-08-23,37603759220.99997,44688142000.0
2023-08-24,38173163178.99998,44499575000.0
2023-08-25,38177098146.00007,44333440000.0
2023-08-28,39493045417.0,44054850000.0
2023-08-29,39060089263.999985,43712510000.0
2023-08-30,39745117152.00005,43376476000.0
2023-08-31,38558523187.00006,43032433000.0
2023-09-01,39275455637.00003,42766262000.0
2023-09-05,39449247071.00005,42496060000.0
2023-09-06,40164308754.000046,42307460000.0
2023-09-07,40495453827.999985,42135770000.0
2023-09-08,48734951879.000015,42000003000.0
2023-09-11,48888564486.0,41837220000.0
2023-09-12,48947020687.999985,41725174000.0
2023-09-13,48705017465.00006,41638200000.0
2023-09-14,48920369231.0,41577886000.0
2023-09-15,40971227781.00002,41533895000.0
2023-09-18,40186406709.99995,41773990000.0
2023-09-19,40274203257.000046,42030700000.0
2023-09-20,40884118751.0,42231595000.0
2023-09-21,40788123752.00001,42394866000.0
2023-09-22,42120470765.000046,42588238000.0
2023-09-25,43343277156.000046,42692830000.0
2023-09-26,43789024373.000046,42718163000.0
2023-09-27,43110833676.00002,42774500000.0
2023-09-28,42283946257.99994,42805924000.0
2023-09-29,41440342797.99994,42803716000.0
2023-10-02,39859712517.99999,42850853000.0
2023-10-03,39108191407.0,42912113000.0
2023-10-04,38863316071.00007,43036620000.0
2023-10-05,39791842866.999954,43091410000.0
2023-10-06,39422943082.00001,43100287000.0
2023-10-09,40237678813.999985,43064210000.0
2023-10-10,40658915749.00004,42985923000.0
2023-10-11,41174270161.99997,42882494000.0
2023-10-12,41534860559.99994,42731282000.0
2023-10-13,42382088421.99998,42651160000.0
2023-10-16,43077127763.99997,42618958000.0
2023-10-17,43287594798.000015,42528820000.0
2023-10-18,43468586646.00008,42480420000.0
2023-10-19,43681185918.00002,42486903000.0
2023-10-20,43238681921.000046,42579546000.0
2023-10-23,42850809998.99995,42700970000.0
2023-10-24,42922047094.00008,42778583000.0
2023-10-25,43177714245.99994,42828870000.0
2023-10-26,43589375486.00008,42917110000.0
2023-10-27,44826086713.99999,43041630000.0
2023-10-30,44740157820.00002,43099460000.0
2023-10-31,44294603439.99998,43152105000.0
2023-11-01,43957323369.00004,43164040000.0
2023-11-02,43460363428.99999,43164040000.0
2023-11-03,42361784208.99995,43189408000.0
2023-11-06,42007738377.00004,43259730000.0
2023-11-07,43887545475.99996,43304554000.0
2023-11-08,44890214956.99996,43305960000.0
2023-11-09,44236673854.00007,43281850000.0
2023-11-10,44049833588.000015,43311910000.0
2023-11-13,44633231192.99997,43289362000.0
2023-11-14,42209191822.00007,43244552000.0
2023-11-15,39621636441.999954,43251397000.0
2023-11-16,35230526095.00005,43311993000.0
2023-11-17,34642665091.99994,43367380000.0
2023-11-20,34465850192.999954,43370607000.0
2023-11-21,36179207273.000046,43355636000.0
2023-11-22,40637947098.000015,43274090000.0
2023-11-24,46506587720.99998,43097080000.0
2023-11-27,49624453225.00001,42700160000.0
2023-11-28,51661636509.99998,42354532000.0
2023-11-29,51851980407.000084,42050910000.0
2023-11-30,50094636076.99994,41849910000.0
2023-12-01,49258227085.0,41818950000.0
2023-12-04,48014760361.999916,41888320000.0
2023-12-05,46701903601.99999,42085892000.0
2023-12-06,49296790268.99998,42344837000.0
2023-12-07,54087906485.999916,42621395000.0
2023-12-08,62459422453.00008,42902786000.0
2023-12-11,63058917048.000015,43136963000.0
2023-12-12,64130889633.999916,43385164000.0
2023-12-13,62512848456.99989,43576330000.0
2023-12-14,57125824310.0001,43864105000.0
2023-12-15,47437497181.00003,44306900000.0
2023-12-18,43801679480.00003,44905767000.0
2023-12-19,40805539207.99993,45519410000.0
2023-12-20,38115216622.99998,46063886000.0
2023-12-21,37787710941.99994,46573728000.0
2023-12-22,39460311748.00003,46961844000.0
2023-12-26,42485941218.00001,47138095000.0
2023-12-27,44794955739.00006,47073944000.0
2023-12-28,46091270690.000046,46822410000.0
2023-12-29,47558253163.000046,46447755000.0
2024-01-02,46662408793.99996,46075220000.0
2024-01-03,45108285447.99999,45801150000.0
2024-01-04,44841462952.00005,45605884000.0
2024-01-05,44185025897.000015,45439263000.0
2024-01-08,44849300925.000015,45288620000.0
2024-01-09,45329490212.00008,45235528000.0
2024-01-10,47030428825.00004,45263320000.0
2024-01-11,47974556556.999985,45115070000.0
2024-01-12,49306000628.99994,44965847000.0
2024-01-16,47685736441.00006,44781660000.0
2024-01-17,47957666819.00004,44706130000.0
2024-01-18,47680281836.00003,44698116000.0
2024-01-19,45694910003.999916,44682174000.0
2024-01-22,44435258688.00001,44700760000.0
2024-01-23,43947413331.0,44767820000.0
2024-01-24,45102585286.00004,44810960000.0
2024-01-25,45284392872.999985,44889580000.0
2024-01-26,46211862033.99992,44963275000.0
2024-01-29,46618750100.99993,44957872000.0
2024-01-30,47136563206.00002,44858085000.0
2024-01-31,45875060185.00008,44699906000.0
2024-02-01,46388588863.000015,44636774000.0
2024-02-02,47280499654.00004,44676890000.0
2024-02-05,47646179399.0,44698796000.0
2024-02-06,48416585125.00005,44691382000.0
2024-02-07,48159494950.99997,44696160000.0
2024-02-08,48333984683.000015,44725064000.0
2024-02-09,47681059320.00002,44830970000.0
2024-02-12,48064414868.00006,44948440000.0
2024-02-13,46943073124.0,45063295000.0
2024-02-14,47724321694.99993,45231730000.0
2024-02-15,46304744018.00003,45290520000.0
2024-02-16,46427542681.00005,45376295000.0
2024-02-20,46132203933.00002,45453304000.0
2024-02-21,46716289753.99996,45574664000.0
2024-02-22,48619712093.00002,45619892000.0
2024-02-23,50079647229.99994,45680840000.0
2024-02-26,51503431558.000046,45695830000.0
2024-02-27,52986719319.99992,45677265000.0
2024-02-28,53729989926.000046,45664027000.0
2024-02-29,51338217211.99995,45617017000.0
2024-03-01,50736257701.000046,45704720000.0
2024-03-04,48956105632.999916,45808490000.0
2024-03-05,47293159695.00006,45961028000.0
2024-03-06,46374653455.99992,46184763000.0
2024-03-07,47222415200.00008,46419595000.0
2024-03-08,54094205002.999916,46594515000.0
2024-03-11,54483648020.0,46747095000.0
2024-03-12,54142338326.00002,46878257000.0
2024-03-13,54359918466.99999,46891760000.0
2024-03-14,53662901229.000084,46871200000.0
2024-03-15,44912095079.00008,46850105000.0
2024-03-18,43713732349.999985,47076190000.0
2024-03-19,43520804743.99998,47293084000.0
2024-03-20,42684158997.000046,47404528000.0
2024-03-21,42405088543.00003,47442883000.0
2024-03-22,42805217171.99999,47444330000.0
2024-03-25,43470133165.99998,47308964000.0
2024-03-26,43741811221.99994,47096934000.0
2024-03-27,44520504978.999954,46862524000.0
2024-03-28,43275932654.99996,46567776000.0
2024-04-01,42818513538.99993,46334410000.0
2024-04-02,42481730951.000046,46049747000.0
2024-04-03,42659696066.99997,45829198000.0
2024-04-04,41561580438.00002,45592576000.0
2024-04-05,42150327097.999985,45493200000.0
2024-04-08,43284048195.00008,45297865000.0
2024-04-09,43935228403.99997,45050830000.0
2024-04-10,43439312154.99999,44792420000.0
2024-04-11,43733763574.00004,44609364000.0
2024-04-12,44369818288.00002,44390640000.0
2024-04-15,44034365547.000046,44226690000.0
2024-04-16,43792913102.000046,44167930000.0
2024-04-17,43694607223.00004,44089483000.0
2024-04-18,43960012435.00007,44012100000.0
2024-04-19,43101910254.00007,43955724000.0
2024-04-22,43049295545.0,43974095000.0
2024-04-23,43723572760.99995,43921617000.0
2024-04-24,45078911406.00001,43867780000.0
2024-04-25,45571278371.99996,43823460000.0
2024-04-26,46055829455.99999,43776426000.0
2024-04-29,45814409973.00008,43694430000.0
2024-04-30,45492033369.000015,43537030000.0
2024-05-01,44068107098.99994,43553976000.0
2024-05-02,43005142207.00004,43624063000.0
2024-05-03,42195526939.000046,43692593000.0
2024-05-06,42819994279.000046,43724690000.0
2024-05-07,45962846040.99999,43752886000.0
2024-05-08,50780076963.00004,43779265000.0
2024-05-09,55553124530.00006,43764322000.0
2024-05-10,60974661805.99993,43714015000.0
2024-05-13,62859037116.99996,43614577000.0
2024-05-14,60733236700.00006,43578070000.0
