date,actual,pred
2023-01-03,9164333425.00001,7142911500.0
2023-01-04,8389422002.999992,7455144400.0
2023-01-05,8952426811.999985,7641595400.0
2023-01-06,9117780348.999992,7860157000.0
2023-01-09,8334395026.000013,7867625500.0
2023-01-10,9333069955.999996,8136577000.0
2023-01-11,9801099279.000006,8076291000.0
2023-01-12,8828645599.0,8281909000.0
2023-01-13,9179245684.999987,8190717000.0
2023-01-17,9276983915.999998,8191842000.0
2023-01-18,8361290827.999996,8453716500.0
2023-01-19,9743166286.000006,8730272000.0
2023-01-20,9724810790.000015,8768504000.0
2023-01-23,8915818125.999989,8730921000.0
2023-01-24,9089864668.999985,8793510000.0
2023-01-25,9466431282.999992,8726093000.0
2023-01-26,10036246462.999994,8721917000.0
2023-01-27,8722827422.999987,8749708000.0
2023-01-30,10026759608.00001,8807441000.0
2023-01-31,11093679105.99998,8990768000.0
2023-02-01,12520691954.999989,9008328000.0
2023-02-02,10366907652.999987,8919729000.0
2023-02-03,9433493620.999994,9270576000.0
2023-02-06,9870833927.000004,9406585000.0
2023-02-07,8916708773.000015,9578237000.0
2023-02-08,9620036995.999985,9495365000.0
2023-02-09,8441174924.999986,9519846000.0
2023-02-10,7870430065.999994,9605461000.0
2023-02-13,8714448519.00001,9433303000.0
2023-02-14,8854410844.000013,9143995000.0
2023-02-15,9076844260.000013,8803176000.0
2023-02-16,8758880379.000002,8650213000.0
2023-02-17,8936647574.99999,8908542000.0
2023-02-21,8525255877.000006,8935072000.0
2023-02-22,8457342998.999986,9260415000.0
2023-02-23,8190736823.999991,9110935000.0
2023-02-24,8189461475.000008,8801144000.0
2023-02-27,10020000239.000006,8708867000.0
2023-02-28,9023375388.99999,8509512000.0
2023-03-01,9462548073.999987,8583911400.0
2023-03-02,8980552229.000002,8668844000.0
2023-03-03,8800819569.000011,8663770000.0
2023-03-06,9325612139.000008,8591955000.0
2023-03-07,8434124518.9999895,8644573000.0
2023-03-08,9302578932.999994,8865250000.0
2023-03-09,11477498102.000017,8808097000.0
2023-03-10,12509649340.000011,9233464000.0
2023-03-13,10860172084.000002,9637006000.0
2023-03-14,12229041606.999994,9965568000.0
2023-03-15,10993140171.000002,9619377000.0
2023-03-16,16793433291.99998,9908405000.0
2023-03-17,10169177386.999989,9529911000.0
2023-03-20,9571876614.999992,9987070000.0
2023-03-21,9406524116.00001,9878892000.0
2023-03-22,9706880804.000008,9459735000.0
2023-03-23,8758972805.000008,9473457000.0
2023-03-24,8311253132.999989,9514364000.0
2023-03-27,7830138483.999995,9313235000.0
2023-03-28,8523026929.000003,8997167000.0
2023-03-29,8558805915.000007,8700898000.0
2023-03-30,9739818416.999996,8488827400.0
2023-03-31,8959936857.000008,8443355000.0
2023-04-03,8197753005.000001,8543567400.0
2023-04-04,8194732924.000014,8616342000.0
2023-04-05,7241536161.999999,8664364000.0
2023-04-06,7540161527.000009,8601038000.0
2023-04-10,8165536097.0,8274851000.0
2023-04-11,8467787542.999994,8131829000.0
2023-04-12,8350524455.999992,8089951000.0
2023-04-13,8063447447.999996,8107499500.0
2023-04-14,8309537416.9999895,7975062000.0
2023-04-17,8328940108.999994,7865825300.0
2023-04-18,8490412875.000013,7897952000.0
2023-04-19,8272954829.999988,7971321000.0
2023-04-20,8369732902.999988,8030746000.0
2023-04-21,8224617277.000005,8190029300.0
2023-04-24,8884967898.999998,8218493400.0
2023-04-25,9190877846.999996,8245405000.0
2023-04-26,9129048664.999996,8551621000.0
2023-04-27,9482054078.000008,8664300000.0
2023-04-28,8582047462.999998,8482774000.0
2023-05-01,10040318993.999996,8374565400.0
2023-05-02,10051979657.000006,8433312000.0
2023-05-03,9657329728.0,8814264000.0
2023-05-04,8658430640.000015,9072456000.0
2023-05-05,7872009901.0000105,9385851000.0
2023-05-08,7946460166.999988,8926197000.0
2023-05-09,9031763103.000004,8642940000.0
2023-05-10,8253877231.9999895,8559616500.0
2023-05-11,7664098264.000009,8466641400.0
2023-05-12,7537012722.000008,8418542000.0
2023-05-15,7747499105.999988,8315497000.0
2023-05-16,8487308287.000002,8162239500.0
2023-05-17,8527230236.000002,8152390000.0
2023-05-18,8013125366.999996,8025417700.0
2023-05-19,8015412986.999988,7955266600.0
