date,actual,pred
2023-01-03,9164333425.00001,8365484837.934373
2023-01-04,8389422002.999992,9390256060.212723
2023-01-05,8952426811.999985,8242974733.586391
2023-01-06,9117780348.999992,9646631960.430794
2023-01-09,8334395026.000013,9906134590.139164
2023-01-10,9333069955.999996,8643509840.322199
2023-01-11,9801099279.000006,9192271383.281054
2023-01-12,8828645599.0,9666656985.823233
2023-01-13,9179245684.999987,9142877828.226536
2023-01-17,9276983915.999998,9339666395.162355
2023-01-18,8361290827.999996,9582302786.06733
2023-01-19,9743166286.000006,8612938590.592516
2023-01-20,9724810790.000015,9098909614.346432
2023-01-23,8915818125.999989,9553673738.282581
2023-01-24,9089864668.999985,9273536618.276564
2023-01-25,9466431282.999992,9470326448.748945
2023-01-26,10036246462.999994,9449896590.545218
2023-01-27,8722827422.999987,9664321297.88952
2023-01-30,10026759608.00001,8815357169.7922
2023-01-31,11093679105.99998,9263097835.49427
2023-02-01,12520691954.999989,10351472173.952473
2023-02-02,10366907652.999987,11734461550.821894
2023-02-03,9433493620.999994,10856176199.533978
2023-02-06,9870833927.000004,9811628101.315474
2023-02-07,8916708773.000015,9681895426.109594
2023-02-08,9620036995.999985,9343633622.438799
2023-02-09,8441174924.999986,9667981957.670725
2023-02-10,7870430065.999994,8724251199.595388
2023-02-13,8714448519.00001,8314482160.834311
2023-02-14,8854410844.000013,8319235044.419787
2023-02-15,9076844260.000013,8899887697.288858
2023-02-16,8758880379.000002,9685360909.508087
2023-02-17,8936647574.99999,8996811390.687975
2023-02-21,8525255877.000006,9449758077.419151
2023-02-22,8457342998.999986,8446227574.100315
2023-02-23,8190736823.999991,8346502887.388906
2023-02-24,8189461475.000008,8266022100.857172
2023-02-27,10020000239.000006,8297528728.114175
2023-02-28,9023375388.99999,8998065764.137266
2023-03-01,9462548073.999987,8859009213.022596
2023-03-02,8980552229.000002,9789959380.449387
2023-03-03,8800819569.000011,9666060508.652351
2023-03-06,9325612139.000008,8889400309.737476
2023-03-07,8434124518.9999895,9302557146.75806
2023-03-08,9302578932.999994,8606728014.969643
2023-03-09,11477498102.000017,9401402777.616583
2023-03-10,12509649340.000011,10058968769.009922
2023-03-13,10860172084.000002,10747863913.143085
2023-03-14,12229041606.999994,10707468217.614546
2023-03-15,10993140171.000002,11777446640.083221
2023-03-16,16793433291.99998,11571059189.553616
2023-03-17,10169177386.999989,11971915085.425034
2023-03-20,9571876614.999992,10682835927.21012
2023-03-21,9406524116.00001,9957698711.42457
2023-03-22,9706880804.000008,9147048008.341885
2023-03-23,8758972805.000008,9474922662.282515
2023-03-24,8311253132.999989,9076736995.249416
2023-03-27,7830138483.999995,8474676201.480905
2023-03-28,8523026929.000003,8335282413.80486
