date,actual,pred
2023-01-03,198078988586.9998,187602223071.5919
2023-01-04,199281562814.99985,185325809373.64243
2023-01-05,200325634433.00015,183084270859.44498
2023-01-06,201244041547.9997,182888000801.11505
2023-01-09,201042969971.9999,183286462078.97736
2023-01-10,202328611942.00003,181122369368.01733
2023-01-11,201436716911.0002,180940240885.57477
2023-01-12,199506047697.99988,183828573984.21396
2023-01-13,199391850617.99988,185280843791.78137
2023-01-17,199067015776.99976,186658296781.79227
2023-01-18,198866876121.0001,183867022272.43683
2023-01-19,199264465671.9998,182660969106.66412
2023-01-20,198457946960.9999,183413309155.72687
2023-01-23,197258392047.99997,185223584156.28085
2023-01-24,196799916921.00006,185484773635.15665
2023-01-25,195900789075.99988,186231605641.87543
2023-01-26,194623819267.99966,187188259838.7662
2023-01-27,194607573043.9997,187952268970.69287
2023-01-30,194908121010.00015,182937655396.31393
2023-01-31,194343909476.0,186476404148.97382
2023-02-01,192230782599.00018,189130470717.2817
2023-02-02,188510910212.99997,196739974142.1269
2023-02-03,187469614698.99973,193515246807.71002
2023-02-06,186470245597.00006,191256125955.88797
2023-02-07,185901990603.0003,188607200836.78464
2023-02-08,188462779932.00003,185411997738.639
2023-02-09,191352392275.99976,188055053717.04694
2023-02-10,193771389434.99985,186323851739.62402
2023-02-13,198130000976.00003,183894154750.51495
2023-02-14,200408692627.9997,185054336479.7069
2023-02-15,208347715076.0002,184994055529.30994
2023-02-16,209440048202.99973,186482949329.62827
2023-02-17,210253044439.00027,186218549523.71457
2023-02-21,210722920979.9998,193174724853.52832
2023-02-22,211904545906.99973,197285039850.9642
2023-02-23,212206175713.00015,195700651959.97513
2023-02-24,212326692021.99997,191579925925.61996
2023-02-27,211967369031.00024,187437019219.524
2023-02-28,210470395720.99963,189477762011.88538
2023-03-01,210005826246.99976,187212814077.78806
2023-03-02,210283096590.00012,186357478631.72626
2023-03-03,210262481217.9999,185563512307.21588
2023-03-06,209659414653.99963,186232707167.961
2023-03-07,208528535438.99982,185576022412.53198
2023-03-08,207335947081.99966,183613549355.85358
2023-03-09,205573529676.00003,184246060516.89392
2023-03-10,202261567671.00018,193373268090.63565
2023-03-13,198219705873.99997,211504913377.17307
2023-03-14,195710058245.99985,208067208567.90662
2023-03-15,191544464086.9999,223752137964.34442
2023-03-16,188860861332.99985,231922335420.92923
2023-03-17,180396368150.0003,233940185644.1118
2023-03-20,178717603638.0002,209594848755.00955
2023-03-21,177418681853.0,201545722784.9048
2023-03-22,176381890640.00027,199472527958.4231
2023-03-23,174899627112.99997,200555278046.8779
2023-03-24,175025622207.0001,202549997297.38226
2023-03-27,175905246920.99988,194435390038.83075
2023-03-28,177204157101.9999,183287003880.91403
2023-03-29,178163184251.0003,181791397495.2267
2023-03-30,178186425799.0003,181706051217.44742
2023-03-31,178486926376.00027,188319788189.60434
2023-04-03,179578969176.0001,186163120686.42737
2023-04-04,181038545898.9998,183385000350.46152
2023-04-05,181502243614.99988,180753560416.33148
2023-04-06,182132717354.00027,179413691300.8009
2023-04-10,182539015993.99994,181142520863.9749
2023-04-11,183405243000.0003,183077587397.57812
2023-04-12,183191332688.99982,183722134794.22186
2023-04-13,182504906496.99985,183145141449.33728
2023-04-14,181978471771.00018,181403997423.53677
2023-04-17,181416433460.0003,183045091603.48062
2023-04-18,181574801638.0003,186204382735.30902
2023-04-19,181611618998.9998,186271297539.76324
2023-04-20,181351789535.9998,185358002829.0268
2023-04-21,180997469619.99976,183401083176.70853
2023-04-24,181257695910.99973,178694168243.43457
2023-04-25,180296556598.99976,183407345193.0931
2023-04-26,179927725129.00003,185924799502.74927
2023-04-27,178952112920.99985,187419674752.50284
2023-04-28,178559266502.99973,189062640473.18787
2023-05-01,182175464894.00024,188024953565.3654
2023-05-02,181156302423.0003,190391763464.98553
2023-05-03,179977243365.00015,189101227965.74454
2023-05-04,178453576425.00027,187995140342.71307
2023-05-05,178647998826.00027,185791535477.8201
2023-05-08,180598115751.99994,182227137338.55997
2023-05-09,180957360130.00018,179927241535.6574
2023-05-10,180142688771.99976,180568320094.69687
2023-05-11,180553644295.99994,176121335548.06854
2023-05-12,182701395170.00006,172052992170.48495
2023-05-15,185164260803.0002,173465899772.8722
2023-05-16,187302676148.99997,174546141136.9506
2023-05-17,193994354958.9999,174846047429.28986
2023-05-18,194813568046.00015,177063551114.1832
2023-05-19,195715755886.0002,174391169194.14432
2023-05-22,195732645368.00006,173575917654.13147
2023-05-23,201727719984.9998,176069987197.1747
2023-05-24,201707296062.9997,177656090899.99442
2023-05-25,201539291328.99966,179491033877.30148
2023-05-26,201672691170.9998,182046426213.91278
2023-05-30,200661551933.99988,185092502374.0904
2023-05-31,197024996784.99966,185972625502.46783
2023-06-01,192946673174.0003,187547500715.4977
2023-06-02,193045481188.00024,189859509638.16467
2023-06-05,194761571674.00027,183376280022.79327
2023-06-06,194683081627.0001,185740217159.98035
2023-06-07,193570292454.99988,188101203854.06693
