date,actual,pred
2023-01-03,43958357615.00006,40553162154.19806
2023-01-04,44127094146.00004,43478904752.36001
2023-01-05,45538771422.00004,41627948311.47255
2023-01-06,45414990209.0,46122437559.87526
2023-01-09,45476455544.99999,45336784645.4858
2023-01-10,46419044434.99992,43537845188.586006
2023-01-11,45447265307.00006,45422808775.99969
2023-01-12,45389332313.99993,47151504504.18181
2023-01-13,46285497505.000084,45021943877.329865
2023-01-17,46022069946.00007,46295082870.91582
2023-01-18,45834950699.00003,46196617939.71752
2023-01-19,46940091153.99999,44222894553.04552
2023-01-20,47233171331.00004,45935270096.41279
2023-01-23,46231187963.99997,47079398415.044266
2023-01-24,47342129446.00005,46581594056.91193
2023-01-25,49345943883.0,46606225482.723724
2023-01-26,52400204554.99996,46539072405.53103
2023-01-27,52730865745.00003,45801874049.608734
2023-01-30,53441531942.99995,44107537036.97402
2023-01-31,53285606261.99993,46668711625.94058
2023-02-01,51108635928.99996,51158722245.951744
2023-02-02,48207980969.99996,55570007588.71522
2023-02-03,46282248241.99998,53791450212.08852
2023-02-06,44719184686.99992,48106074874.53724
2023-02-07,43562799279.000046,48324912504.258125
2023-02-08,43500501349.999985,46917212664.92283
2023-02-09,42957308613.99995,47076819756.72747
2023-02-10,43275014068.00005,45129911268.10067
2023-02-13,44341231576.999954,42736632890.80051
2023-02-14,44152038934.999985,43466231489.06746
2023-02-15,43754971090.000046,44433269597.84238
2023-02-16,42868863654.000046,46469218352.72188
2023-02-17,42299444749.99993,46276200870.04487
2023-02-21,43382797414.00006,46146202534.25822
2023-02-22,43880916925.99996,44853287000.1594
2023-02-23,44886122000.99996,45105642398.782425
2023-02-24,45675937405.999985,43486655758.60994
2023-02-27,46287295500.00008,43396312045.52083
2023-02-28,45592907400.00007,45900401424.740715
2023-03-01,45003656529.99999,45190037266.94913
2023-03-02,44843687389.00006,46336588956.994865
2023-03-03,47340633261.99992,46625425375.14779
2023-03-06,51049463033.00003,45305205118.56365
2023-03-07,52584022977.99996,46339580733.33608
2023-03-08,56378940066.00004,44805219208.173645
2023-03-09,58069501303.99991,45756291024.7871
2023-03-10,63385436493.99996,48538390249.56454
2023-03-13,61044964541.000015,52925358579.63044
2023-03-14,59756669071.99997,53048467927.4242
2023-03-15,56934151580.999985,58748935494.55324
2023-03-16,55647892214.00003,58184230619.07798
2023-03-17,47613431726.999954,59218070779.835266
2023-03-20,45755507473.0,54066842386.160614
2023-03-21,44013769342.00001,47256375088.03254
2023-03-22,43130272154.99993,46025399641.55441
2023-03-23,41982197265.999985,47510749194.13528
2023-03-24,42963042877.99994,45732809416.029854
2023-03-27,43611726601.99996,44484533522.39525
2023-03-28,43979341122.999954,42460782512.098755
2023-03-29,43651047117.999985,43044254825.63805
2023-03-30,42333777365.00007,44181932866.78951
2023-03-31,40134120474.99999,48177291544.704605
2023-04-03,39339719715.000015,48177571445.88197
2023-04-04,39609754253.00004,43610524986.52505
2023-04-05,39765545784.99998,44128331440.83241
2023-04-06,40587457071.00002,39842093709.16958
2023-04-10,41356832961.00001,39434829285.811134
2023-04-11,41520236972.99994,42211353222.426285
2023-04-12,41542862304.999954,43036661237.31483
2023-04-13,41465292679.00007,43102216817.13941
2023-04-14,41771578134.000046,42194609694.52154
2023-04-17,41686657993.999954,44321748172.96696
2023-04-18,42242685783.99997,45011120855.84667
2023-04-19,42943150756.000046,44845640582.61496
2023-04-20,43799244591.00001,43378416200.54722
2023-04-21,44911565766.00006,44160466356.84788
2023-04-24,45268995951.99996,42567156812.69095
2023-04-25,46424347047.00006,44995813328.53958
2023-04-26,47285448857.00001,45818101210.942314
2023-04-27,47813729920.000046,45459259220.83068
2023-04-28,46990106481.99996,45894697885.71982
2023-05-01,46280068919.99996,43595450046.87468
2023-05-02,44186210093.000046,45876826551.69916
2023-05-03,43165993539.000015,47649648489.36564
2023-05-04,41762541043.00003,47366708181.02435
2023-05-05,40768208667.00003,46035317145.99707
2023-05-08,40433211488.00001,43927340820.91931
2023-05-09,40234250426.99999,41806786453.00476
2023-05-10,39689795611.00003,43352395436.33125
2023-05-11,39963148614.99993,41630940648.71352
2023-05-12,40312175717.99994,41749086672.83375
2023-05-15,40790575983.00002,40472546807.04205
2023-05-16,41527920444.99998,42192528074.83597
2023-05-17,40964440744.99996,44172825573.45919
2023-05-18,41259256885.99999,44079206824.224174
2023-05-19,41399567976.000046,42041101189.95961
2023-05-22,42473362649.00001,43481849705.43602
2023-05-23,46186764935.00008,45425890431.656876
2023-05-24,47284092870.99996,41620362264.89987
2023-05-25,47334967092.999985,43195436080.49638
2023-05-26,47315193424.00008,43148925242.493675
2023-05-30,47078838805.000015,44497952391.934944
2023-05-31,44702719777.99998,47867196785.37967
2023-06-01,43987267800.00006,45741359798.04657
2023-06-02,43331438945.999954,45672009004.65464
2023-06-05,43862608913.99999,44308480604.155876
2023-06-06,44821605011.000046,45579380095.16418
2023-06-07,44999356539.00007,46952807066.35959
2023-06-08,46579566445.99997,43454020879.06775
2023-06-09,53541461798.00007,43132800365.84647
2023-06-12,54223072365.000084,44786037597.173134
2023-06-13,53326536434.000015,47748975450.205185
2023-06-14,51358960547.99999,47770148651.598145
2023-06-15,55952964281.00003,48608503733.22698
2023-06-16,48677381848.999985,50282125151.23009
2023-06-20,47984980168.99992,46306292984.76033
2023-06-21,47356503260.99993,45704555199.55763
2023-06-22,47402269215.00003,43871058341.079124
2023-06-23,41484041735.00008,44724301144.72459
2023-06-26,38523469982.00007,43156653254.444534
2023-06-27,38841156951.99996,42044410624.70011
2023-06-28,40404073927.00003,44239162919.324684
2023-06-29,41100368498.00002,42889335663.532486
2023-06-30,41248015447.99999,46172437246.33272
2023-07-03,44787274301.00005,39458588440.9129
2023-07-05,45018701416.99999,43915986715.648994
2023-07-06,44235289544.99995,46711183066.227394
2023-07-07,44473641131.000015,44067518061.5483
2023-07-10,43940627406.999954,44826738663.56845
2023-07-11,44383963991.99996,46228540556.95612
2023-07-12,44482139566.99998,46959379103.21941
2023-07-13,44325351549.99993,46489515375.005745
2023-07-14,44342467717.000015,45808506985.38858
2023-07-17,44084864776.00008,43143097193.98339
2023-07-18,43523083104.00001,44979187259.40416
2023-07-19,42469992701.99999,45680659643.65387
2023-07-20,43251851371.99998,45375804567.12142
2023-07-21,42644055379.999985,45487657237.855576
2023-07-24,44192132316.0,42583021705.43435
2023-07-25,44574285759.99993,42321809765.64617
2023-07-26,46176550444.99997,43612201980.909836
2023-07-27,46837528741.0,46690679883.54967
2023-07-28,47926207185.00005,44491529751.27969
2023-07-31,46882142904.999954,46288176427.28595
2023-08-01,47402325611.99999,44730604112.45502
2023-08-02,47092455201.99992,46674946550.101364
2023-08-03,46647293864.99999,47680372419.43247
2023-08-04,45573988156.99994,47352768698.79506
2023-08-07,45274401220.00002,45042676740.46644
2023-08-08,44362986072.00005,45595303256.19276
2023-08-09,44960563834.99999,46098864740.76823
2023-08-10,44294739306.00005,46479150438.27765
2023-08-11,44569542541.99993,43643198553.00356
2023-08-14,44519663009.99997,42764150077.47468
2023-08-15,43957247702.000015,45072488196.789925
2023-08-16,41792692658.99996,46640950572.9968
2023-08-17,40627649746.00007,46406008866.97515
2023-08-18,39197086626.99994,44207706124.68086
2023-08-21,37732521224.0,44474448713.3935
