date,actual,pred
2023-01-03,9164333425.00001,8196720192.53592
2023-01-04,8389422002.999992,9130507932.159365
2023-01-05,8952426811.999985,8336089733.236056
2023-01-06,9117780348.999992,9477549113.69717
2023-01-09,8334395026.000013,9567018342.309973
2023-01-10,9333069955.999996,8535140991.7776
2023-01-11,9801099279.000006,9138979876.74522
2023-01-12,8828645599.0,9610297182.170635
2023-01-13,9179245684.999987,8928208925.55875
2023-01-17,9276983915.999998,9217697624.946232
2023-01-18,8361290827.999996,9348460056.975193
2023-01-19,9743166286.000006,8661535468.367975
2023-01-20,9724810790.000015,9187866964.885958
2023-01-23,8915818125.999989,9404495447.180452
2023-01-24,9089864668.999985,8986827924.0636
2023-01-25,9466431282.999992,9212165186.06678
2023-01-26,10036246462.999994,9322051013.241144
2023-01-27,8722827422.999987,9351477167.69306
2023-01-30,10026759608.00001,8886692807.189537
2023-01-31,11093679105.99998,9262868219.689491
2023-02-01,12520691954.999989,9857951761.157766
2023-02-02,10366907652.999987,10708042430.561232
2023-02-03,9433493620.999994,10503149883.981602
2023-02-06,9870833927.000004,9854611868.507397
2023-02-07,8916708773.000015,9488136284.028442
2023-02-08,9620036995.999985,9107335036.95763
2023-02-09,8441174924.999986,9530099853.921568
2023-02-10,7870430065.999994,8748329849.646357
2023-02-13,8714448519.00001,8383762334.118132
2023-02-14,8854410844.000013,8388322535.898781
2023-02-15,9076844260.000013,8896931910.304085
2023-02-16,8758880379.000002,9407463800.171743
2023-02-17,8936647574.99999,9024946786.77348
2023-02-21,8525255877.000006,9283286928.143682
2023-02-22,8457342998.999986,8594734586.964283
2023-02-23,8190736823.999991,8504303914.213946
2023-02-24,8189461475.000008,8351399689.627034
2023-02-27,10020000239.000006,8325560340.712547
2023-02-28,9023375388.99999,9099631888.781563
2023-03-01,9462548073.999987,8923160838.638203
2023-03-02,8980552229.000002,9437831101.758965
2023-03-03,8800819569.000011,9340234833.707766
2023-03-06,9325612139.000008,8972806750.186369
2023-03-07,8434124518.9999895,9169050298.89083
2023-03-08,9302578932.999994,8653220047.064905
2023-03-09,11477498102.000017,9519928104.997639
2023-03-10,12509649340.000011,10015225174.789062
2023-03-13,10860172084.000002,10728445040.9332
2023-03-14,12229041606.999994,10617041515.744522
2023-03-15,10993140171.000002,11816881105.159344
2023-03-16,16793433291.99998,11398313756.18783
2023-03-17,10169177386.999989,12069648551.891449
2023-03-20,9571876614.999992,10559576988.012508
2023-03-21,9406524116.00001,9862992586.036076
2023-03-22,9706880804.000008,9280362224.870953
2023-03-23,8758972805.000008,9368345278.701654
2023-03-24,8311253132.999989,8928403118.153826
2023-03-27,7830138483.999995,8460344984.343414
2023-03-28,8523026929.000003,8256739141.245692
2023-03-29,8558805915.000007,8198537955.919036
2023-03-30,9739818416.999996,8662470041.129272
2023-03-31,8959936857.000008,9252611356.309374
2023-04-03,8197753005.000001,9217337386.862726
2023-04-04,8194732924.000014,8644280576.879396
2023-04-05,7241536161.999999,8481006915.519761
2023-04-06,7540161527.000009,7595227565.080552
2023-04-10,8165536097.0,7721236266.223247
2023-04-11,8467787542.999994,8171598304.979029
2023-04-12,8350524455.999992,8263396199.276046
2023-04-13,8063447447.999996,8396273548.736769
2023-04-14,8309537416.9999895,8215694164.003606
2023-04-17,8328940108.999994,8327926397.797613
2023-04-18,8490412875.000013,8786762644.62517
2023-04-19,8272954829.999988,8661915899.756174
2023-04-20,8369732902.999988,8363287126.954688
2023-04-21,8224617277.000005,8472462341.249329
2023-04-24,8884967898.999998,8459816724.952828
2023-04-25,9190877846.999996,8779920111.60357
2023-04-26,9129048664.999996,9339052464.18561
2023-04-27,9482054078.000008,9367262080.5754
2023-04-28,8582047462.999998,9614129523.274075
2023-05-01,10040318993.999996,8835452056.957926
2023-05-02,10051979657.000006,9352252171.380981
2023-05-03,9657329728.0,9402166786.329067
2023-05-04,8658430640.000015,10195007050.105743
2023-05-05,7872009901.0000105,8836992099.023924
2023-05-08,7946460166.999988,8423173778.327018
2023-05-09,9031763103.000004,8231128877.514809
2023-05-10,8253877231.9999895,8804658407.513174
2023-05-11,7664098264.000009,8444835731.96172
2023-05-12,7537012722.000008,8108693843.4326315
2023-05-15,7747499105.999988,7819646823.765655
2023-05-16,8487308287.000002,7970765370.6048355
2023-05-17,8527230236.000002,8217477950.680557
2023-05-18,8013125366.999996,8749822964.67641
2023-05-19,8015412986.999988,8232110303.367584
