date,actual,pred
2023-01-03,9164333425.00001,8358160400.0
2023-01-04,8389422002.999992,9185844000.0
2023-01-05,8952426811.999985,8297689600.0
2023-01-06,9117780348.999992,9811684000.0
2023-01-09,8334395026.000013,9572192000.0
2023-01-10,9333069955.999996,8538468000.0
2023-01-11,9801099279.000006,9018351000.0
2023-01-12,8828645599.0,9515780000.0
2023-01-13,9179245684.999987,9189225000.0
2023-01-17,9276983915.999998,9373828000.0
2023-01-18,8361290827.999996,9579663000.0
2023-01-19,9743166286.000006,8587989500.0
2023-01-20,9724810790.000015,9054028000.0
2023-01-23,8915818125.999989,9607385000.0
2023-01-24,9089864668.999985,9302477000.0
2023-01-25,9466431282.999992,9579498000.0
2023-01-26,10036246462.999994,9446357000.0
2023-01-27,8722827422.999987,9674614000.0
2023-01-30,10026759608.00001,8592922000.0
2023-01-31,11093679105.99998,9461377000.0
2023-02-01,12520691954.999989,11684846000.0
2023-02-02,10366907652.999987,12318257000.0
2023-02-03,9433493620.999994,10406919000.0
2023-02-06,9870833927.000004,9608686000.0
2023-02-07,8916708773.000015,9909955000.0
2023-02-08,9620036995.999985,9409977000.0
2023-02-09,8441174924.999986,9793809000.0
2023-02-10,7870430065.999994,8613663000.0
2023-02-13,8714448519.00001,8301410000.0
2023-02-14,8854410844.000013,8199939000.0
2023-02-15,9076844260.000013,8967562000.0
2023-02-16,8758880379.000002,9561828000.0
2023-02-17,8936647574.99999,9103344000.0
2023-02-21,8525255877.000006,9260062000.0
2023-02-22,8457342998.999986,8640386000.0
2023-02-23,8190736823.999991,8566149600.0
2023-02-24,8189461475.000008,8425128400.0
2023-02-27,10020000239.000006,8317163000.0
2023-02-28,9023375388.99999,9180852000.0
2023-03-01,9462548073.999987,9140193000.0
2023-03-02,8980552229.000002,9785574000.0
2023-03-03,8800819569.000011,9455423000.0
2023-03-06,9325612139.000008,9004704000.0
2023-03-07,8434124518.9999895,9374471000.0
2023-03-08,9302578932.999994,8559862000.0
2023-03-09,11477498102.000017,9561591000.0
2023-03-10,12509649340.000011,10140049000.0
2023-03-13,10860172084.000002,10720490000.0
2023-03-14,12229041606.999994,10231925000.0
2023-03-15,10993140171.000002,11895099000.0
2023-03-16,16793433291.99998,11251576000.0
2023-03-17,10169177386.999989,12403865000.0
2023-03-20,9571876614.999992,10463346000.0
2023-03-21,9406524116.00001,9803565000.0
2023-03-22,9706880804.000008,9427655000.0
2023-03-23,8758972805.000008,9384078000.0
2023-03-24,8311253132.999989,8872338000.0
2023-03-27,7830138483.999995,8321320400.0
2023-03-28,8523026929.000003,8279603700.0
2023-03-29,8558805915.000007,8235833300.0
2023-03-30,9739818416.999996,8624563000.0
2023-03-31,8959936857.000008,9378745000.0
2023-04-03,8197753005.000001,10057876000.0
2023-04-04,8194732924.000014,8543469000.0
2023-04-05,7241536161.999999,8552648700.0
2023-04-06,7540161527.000009,7590013400.0
2023-04-10,8165536097.0,7701910500.0
2023-04-11,8467787542.999994,8009881000.0
2023-04-12,8350524455.999992,7730551000.0
2023-04-13,8063447447.999996,8571347000.0
2023-04-14,8309537416.9999895,8339641000.0
2023-04-17,8328940108.999994,8309821400.0
2023-04-18,8490412875.000013,9042171000.0
2023-04-19,8272954829.999988,8590693000.0
2023-04-20,8369732902.999988,8445884000.0
2023-04-21,8224617277.000005,8566607400.0
2023-04-24,8884967898.999998,8572410000.0
2023-04-25,9190877846.999996,8947197000.0
2023-04-26,9129048664.999996,9501579000.0
2023-04-27,9482054078.000008,9411934000.0
2023-04-28,8582047462.999998,9578622000.0
2023-05-01,10040318993.999996,8565512700.0
2023-05-02,10051979657.000006,9147658000.0
2023-05-03,9657329728.0,9984709000.0
2023-05-04,8658430640.000015,10488122000.0
2023-05-05,7872009901.0000105,8833266000.0
2023-05-08,7946460166.999988,8316322300.0
2023-05-09,9031763103.000004,8333995500.0
2023-05-10,8253877231.9999895,8274441000.0
2023-05-11,7664098264.000009,8362051000.0
2023-05-12,7537012722.000008,8320527000.0
2023-05-15,7747499105.999988,7800282000.0
2023-05-16,8487308287.000002,8062578000.0
2023-05-17,8527230236.000002,7742799000.0
2023-05-18,8013125366.999996,8801933000.0
2023-05-19,8015412986.999988,8330150000.0
2023-05-22,8484843568.000001,8301362000.0
2023-05-23,7923828586.9999895,8791246000.0
2023-05-24,8822046376.999996,8515503600.0
2023-05-25,8153436456.999991,8321511000.0
2023-05-26,9089207659.999996,8524344000.0
2023-05-30,12198245853.999979,9046640000.0
2023-05-31,9021156523.000013,9938272000.0
2023-06-01,8872920598.999994,8899032000.0
2023-06-02,8133662788.000008,9057119000.0
2023-06-05,8852853041.0,8712539000.0
2023-06-06,9822126827.000008,8722781000.0
2023-06-07,8305704544.999997,9518576000.0
2023-06-08,8217091745.000006,8561315000.0
2023-06-09,8664832756.000008,8607176000.0
2023-06-12,9811849138.000013,8439507000.0
2023-06-13,9999878355.000004,9563689000.0
2023-06-14,9885914451.999998,9859578000.0
2023-06-15,15178987096.999985,11166698000.0
2023-06-16,9346443323.000002,9728831000.0
2023-06-20,8915313207.0,10010108000.0
2023-06-21,8032302468.9999895,9252594000.0
2023-06-22,14479918185.00001,7916412000.0
2023-06-23,7903404665.000008,8862850000.0
2023-06-26,8654041643.000008,8419265000.0
2023-06-27,8286836299.000001,8128278000.0
2023-06-28,8078068423.00001,7825436700.0
2023-06-29,8561690705.000008,8459410400.0
2023-06-30,4942832911.999992,8509512000.0
2023-07-03,8971728613.000008,7957118500.0
2023-07-05,9849753273.999992,9345585000.0
2023-07-06,8774362994.000008,9644951000.0
2023-07-07,8709337655.000008,9004497000.0
2023-07-10,8482091764.999994,8479942700.0
2023-07-11,9203155728.999998,8978070000.0
2023-07-12,9066341401.999996,9593505000.0
2023-07-13,9012714579.999985,9599764000.0
2023-07-14,8176323931.000001,9673045000.0
2023-07-17,8925428349.99999,8422268400.0
2023-07-18,9301331303.999994,8871255000.0
2023-07-19,8909553385.000008,9202907000.0
2023-07-20,9029830747.000002,9187070000.0
2023-07-21,7918720989.9999895,8893873000.0
2023-07-24,8363646677.999995,8386585600.0
2023-07-25,8248240902.000011,7998461400.0
2023-07-26,9691412055.0,8354287600.0
2023-07-27,8422034754.999999,9341131000.0
2023-07-28,9466797926.00001,8687714000.0
2023-07-31,8745800122.000015,9306825000.0
2023-08-01,9850505587.000011,9013708000.0
2023-08-02,10352390350.999992,9323758000.0
2023-08-03,9510713199.0,9893203000.0
2023-08-04,8422733646.000004,10203082000.0
2023-08-07,9265982828.999985,8646370000.0
2023-08-08,9540635177.000008,9340542000.0
2023-08-09,9907229014.000006,9476548000.0
2023-08-10,8437407491.00001,9419692000.0
2023-08-11,8123146708.999997,8465899000.0
2023-08-14,8354567680.9999895,8515990500.0
2023-08-15,10138212939.999992,8275861500.0
2023-08-16,9241404484.999998,9211389000.0
2023-08-17,8712210727.000015,9525368000.0
2023-08-18,8073267176.9999895,8624299000.0
2023-08-21,7792152373.000009,8458119700.0
2023-08-22,7973657897.000007,7966047700.0
2023-08-23,8076361572.000006,8619136000.0
2023-08-24,7281647607.999995,8608604000.0
2023-08-25,6608701773.999993,7384849000.0
2023-08-28,8139154283.999999,7235041000.0
2023-08-29,7497893983.000007,7903693300.0
2023-08-30,8645765529.99999,8042933000.0
2023-08-31,7285582575.000007,8106803000.0
2023-09-01,7924649044.999999,6429335000.0
2023-09-05,7706198131.000012,7855345000.0
2023-09-06,8182921870.999987,7715820000.0
2023-09-07,7459171564.999993,8150307300.0
2023-09-08,8002515025.000014,9179556000.0
2023-09-11,8098440479.000004,8178041000.0
2023-09-12,8421259814.000009,8205634000.0
2023-09-13,8514066944.999994,8592020000.0
2023-09-14,15698669615.999994,8798442000.0
2023-09-15,8156127632.000008,8873573000.0
2023-09-18,8156896680.9999895,8022327000.0
2023-09-19,8179256591.000003,8372169000.0
2023-09-20,8729418710.999996,8657641000.0
2023-09-21,7749528165.999987,8798325000.0
2023-09-22,7371306561.000012,8199814000.0
2023-09-25,8244693228.000004,7334217000.0
2023-09-26,8789172085.00001,8387161000.0
2023-09-27,8633423712.000013,8755569000.0
2023-09-28,9081875178.999985,8718457000.0
2023-09-29,8594112951.999987,9370163000.0
2023-10-02,8690440444.999987,8835591000.0
2023-10-03,8110981387.999987,8559829000.0
2023-10-04,7806536293.999999,8395452000.0
