date,actual,pred
2023-01-03,198078988586.9998,192347000000.0
2023-01-04,199281562814.99985,188466630000.0
2023-01-05,200325634433.00015,181058980000.0
2023-01-06,201244041547.9997,183598300000.0
2023-01-09,201042969971.9999,187605880000.0
2023-01-10,202328611942.00003,183101720000.0
2023-01-11,201436716911.0002,181469710000.0
2023-01-12,199506047697.99988,184904560000.0
2023-01-13,199391850617.99988,183874450000.0
2023-01-17,199067015776.99976,188241020000.0
2023-01-18,198866876121.0001,187514290000.0
2023-01-19,199264465671.9998,187822850000.0
2023-01-20,198457946960.9999,188882630000.0
2023-01-23,197258392047.99997,188720960000.0
2023-01-24,196799916921.00006,187537900000.0
2023-01-25,195900789075.99988,190859970000.0
2023-01-26,194623819267.99966,189964000000.0
2023-01-27,194607573043.9997,187279460000.0
2023-01-30,194908121010.00015,181413640000.0
2023-01-31,194343909476.0,185553930000.0
2023-02-01,192230782599.00018,189120920000.0
2023-02-02,188510910212.99997,193107560000.0
2023-02-03,187469614698.99973,202337160000.0
2023-02-06,186470245597.00006,188342300000.0
2023-02-07,185901990603.0003,188702590000.0
2023-02-08,188462779932.00003,188107870000.0
2023-02-09,191352392275.99976,191598940000.0
2023-02-10,193771389434.99985,182706450000.0
2023-02-13,198130000976.00003,183023500000.0
2023-02-14,200408692627.9997,188750460000.0
2023-02-15,208347715076.0002,188915800000.0
2023-02-16,209440048202.99973,187990570000.0
2023-02-17,210253044439.00027,185531290000.0
2023-02-21,210722920979.9998,196838900000.0
2023-02-22,211904545906.99973,196173250000.0
2023-02-23,212206175713.00015,195071800000.0
2023-02-24,212326692021.99997,192544830000.0
2023-02-27,211967369031.00024,191502480000.0
2023-02-28,210470395720.99963,191631100000.0
2023-03-01,210005826246.99976,184515280000.0
2023-03-02,210283096590.00012,186483500000.0
2023-03-03,210262481217.9999,189519220000.0
2023-03-06,209659414653.99963,186276610000.0
2023-03-07,208528535438.99982,182936260000.0
2023-03-08,207335947081.99966,182890200000.0
2023-03-09,205573529676.00003,182453630000.0
2023-03-10,202261567671.00018,191516720000.0
2023-03-13,198219705873.99997,226386970000.0
2023-03-14,195710058245.99985,216259890000.0
2023-03-15,191544464086.9999,223174080000.0
2023-03-16,188860861332.99985,235096050000.0
2023-03-17,180396368150.0003,233252270000.0
2023-03-20,178717603638.0002,209808670000.0
2023-03-21,177418681853.0,199448080000.0
2023-03-22,176381890640.00027,202832900000.0
2023-03-23,174899627112.99997,206853950000.0
2023-03-24,175025622207.0001,208392030000.0
2023-03-27,175905246920.99988,198537540000.0
2023-03-28,177204157101.9999,186745830000.0
2023-03-29,178163184251.0003,184433640000.0
2023-03-30,178186425799.0003,183087040000.0
2023-03-31,178486926376.00027,192049320000.0
2023-04-03,179578969176.0001,195694530000.0
2023-04-04,181038545898.9998,186205210000.0
2023-04-05,181502243614.99988,181181610000.0
2023-04-06,182132717354.00027,183126870000.0
2023-04-10,182539015993.99994,178779000000.0
