date,actual,pred
2023-01-03,43958357615.00006,39691227000.0
2023-01-04,44127094146.00004,42033906000.0
2023-01-05,45538771422.00004,40847098000.0
2023-01-06,45414990209.0,46238620000.0
2023-01-09,45476455544.99999,45504740000.0
2023-01-10,46419044434.99992,43273265000.0
2023-01-11,45447265307.00006,45161386000.0
2023-01-12,45389332313.99993,47117423000.0
2023-01-13,46285497505.000084,44981460000.0
2023-01-17,46022069946.00007,46152008000.0
2023-01-18,45834950699.00003,47621026000.0
2023-01-19,46940091153.99999,43683176000.0
2023-01-20,47233171331.00004,45544165000.0
2023-01-23,46231187963.99997,46843490000.0
2023-01-24,47342129446.00005,46568400000.0
2023-01-25,49345943883.0,47206568000.0
2023-01-26,52400204554.99996,46892122000.0
2023-01-27,52730865745.00003,46547972000.0
2023-01-30,53441531942.99995,44639244000.0
2023-01-31,53285606261.99993,47464150000.0
2023-02-01,51108635928.99996,55138406000.0
2023-02-02,48207980969.99996,55176700000.0
2023-02-03,46282248241.99998,53196780000.0
2023-02-06,44719184686.99992,51721030000.0
2023-02-07,43562799279.000046,48624775000.0
2023-02-08,43500501349.999985,47254850000.0
2023-02-09,42957308613.99995,45645480000.0
2023-02-10,43275014068.00005,44727796000.0
2023-02-13,44341231576.999954,44269980000.0
2023-02-14,44152038934.999985,45728350000.0
2023-02-15,43754971090.000046,44196580000.0
2023-02-16,42868863654.000046,45956997000.0
2023-02-17,42299444749.99993,46429864000.0
2023-02-21,43382797414.00006,46484627000.0
2023-02-22,43880916925.99996,44762956000.0
2023-02-23,44886122000.99996,44660535000.0
2023-02-24,45675937405.999985,43776010000.0
2023-02-27,46287295500.00008,43833740000.0
2023-02-28,45592907400.00007,46301016000.0
2023-03-01,45003656529.99999,45822206000.0
2023-03-02,44843687389.00006,45767614000.0
2023-03-03,47340633261.99992,46633284000.0
2023-03-06,51049463033.00003,45289312000.0
2023-03-07,52584022977.99996,46238884000.0
2023-03-08,56378940066.00004,45137020000.0
2023-03-09,58069501303.99991,45817573000.0
2023-03-10,63385436493.99996,47990403000.0
2023-03-13,61044964541.000015,52786426000.0
