date,actual,pred
2023-01-03,9164333425.00001,8098581500.0
2023-01-04,8389422002.999992,9149019000.0
2023-01-05,8952426811.999985,8265797000.0
2023-01-06,9117780348.999992,9931394000.0
2023-01-09,8334395026.000013,9436470000.0
2023-01-10,9333069955.999996,8632874000.0
2023-01-11,9801099279.000006,9016047000.0
2023-01-12,8828645599.0,9296961000.0
2023-01-13,9179245684.999987,9037929000.0
2023-01-17,9276983915.999998,9272257000.0
2023-01-18,8361290827.999996,9302672000.0
2023-01-19,9743166286.000006,8598398000.0
2023-01-20,9724810790.000015,8955187000.0
2023-01-23,8915818125.999989,9391670000.0
2023-01-24,9089864668.999985,9106487000.0
2023-01-25,9466431282.999992,9422460000.0
2023-01-26,10036246462.999994,9345425000.0
2023-01-27,8722827422.999987,9383988000.0
2023-01-30,10026759608.00001,8551164000.0
2023-01-31,11093679105.99998,9223871000.0
2023-02-01,12520691954.999989,10563448000.0
2023-02-02,10366907652.999987,11068541000.0
2023-02-03,9433493620.999994,10122677000.0
2023-02-06,9870833927.000004,9988156000.0
2023-02-07,8916708773.000015,9441007000.0
2023-02-08,9620036995.999985,9368609000.0
2023-02-09,8441174924.999986,9542698000.0
2023-02-10,7870430065.999994,8472570400.0
2023-02-13,8714448519.00001,8385225700.0
2023-02-14,8854410844.000013,8445304000.0
2023-02-15,9076844260.000013,8847683000.0
2023-02-16,8758880379.000002,9119958000.0
2023-02-17,8936647574.99999,8799063000.0
2023-02-21,8525255877.000006,9202187000.0
2023-02-22,8457342998.999986,8699105000.0
2023-02-23,8190736823.999991,8631096000.0
2023-02-24,8189461475.000008,8448059000.0
2023-02-27,10020000239.000006,8373766000.0
2023-02-28,9023375388.99999,9186404000.0
2023-03-01,9462548073.999987,9050850000.0
2023-03-02,8980552229.000002,9256389000.0
2023-03-03,8800819569.000011,9476132000.0
2023-03-06,9325612139.000008,8956571000.0
2023-03-07,8434124518.9999895,9114463000.0
2023-03-08,9302578932.999994,8529857000.0
2023-03-09,11477498102.000017,9524967000.0
2023-03-10,12509649340.000011,10431781000.0
2023-03-13,10860172084.000002,10914057000.0
2023-03-14,12229041606.999994,10147208000.0
2023-03-15,10993140171.000002,12173561000.0
2023-03-16,16793433291.99998,11207774000.0
2023-03-17,10169177386.999989,12684893000.0
2023-03-20,9571876614.999992,10646603000.0
2023-03-21,9406524116.00001,9590833000.0
2023-03-22,9706880804.000008,9345390000.0
2023-03-23,8758972805.000008,9511352000.0
2023-03-24,8311253132.999989,8714334000.0
2023-03-27,7830138483.999995,8397774300.0
2023-03-28,8523026929.000003,7935384600.0
2023-03-29,8558805915.000007,8313547300.0
2023-03-30,9739818416.999996,8562050000.0
