date,actual,pred
2023-01-03,198078988586.9998,156024850000.0
2023-01-04,199281562814.99985,156573070000.0
2023-01-05,200325634433.00015,158932320000.0
2023-01-06,201244041547.9997,161055310000.0
2023-01-09,201042969971.9999,163458070000.0
2023-01-10,202328611942.00003,165927370000.0
2023-01-11,201436716911.0002,167769960000.0
2023-01-12,199506047697.99988,169431530000.0
2023-01-13,199391850617.99988,171525240000.0
2023-01-17,199067015776.99976,171925490000.0
2023-01-18,198866876121.0001,172579950000.0
2023-01-19,199264465671.9998,173308280000.0
2023-01-20,198457946960.9999,172784810000.0
2023-01-23,197258392047.99997,173389960000.0
2023-01-24,196799916921.00006,174445500000.0
2023-01-25,195900789075.99988,174672580000.0
2023-01-26,194623819267.99966,174771540000.0
2023-01-27,194607573043.9997,175149300000.0
2023-01-30,194908121010.00015,175921700000.0
2023-01-31,194343909476.0,175573750000.0
2023-02-01,192230782599.00018,176213180000.0
2023-02-02,188510910212.99997,177610500000.0
2023-02-03,187469614698.99973,181505700000.0
2023-02-06,186470245597.00006,183708290000.0
2023-02-07,185901990603.0003,184112400000.0
2023-02-08,188462779932.00003,184144690000.0
2023-02-09,191352392275.99976,183300180000.0
2023-02-10,193771389434.99985,182820100000.0
2023-02-13,198130000976.00003,181185760000.0
2023-02-14,200408692627.9997,178597350000.0
2023-02-15,208347715076.0002,177053760000.0
2023-02-16,209440048202.99973,176031800000.0
2023-02-17,210253044439.00027,175648110000.0
2023-02-21,210722920979.9998,175337160000.0
2023-02-22,211904545906.99973,175236170000.0
2023-02-23,212206175713.00015,174758200000.0
2023-02-24,212326692021.99997,174193800000.0
2023-02-27,211967369031.00024,173186350000.0
2023-02-28,210470395720.99963,172105610000.0
2023-03-01,210005826246.99976,173264010000.0
2023-03-02,210283096590.00012,174047670000.0
2023-03-03,210262481217.9999,175128260000.0
2023-03-06,209659414653.99963,175742600000.0
2023-03-07,208528535438.99982,175702050000.0
2023-03-08,207335947081.99966,176040840000.0
2023-03-09,205573529676.00003,175491060000.0
2023-03-10,202261567671.00018,175615600000.0
2023-03-13,198219705873.99997,178112230000.0
2023-03-14,195710058245.99985,182170570000.0
2023-03-15,191544464086.9999,185135730000.0
2023-03-16,188860861332.99985,188412350000.0
2023-03-17,180396368150.0003,190228320000.0
2023-03-20,178717603638.0002,195471440000.0
2023-03-21,177418681853.0,196503910000.0
2023-03-22,176381890640.00027,195300000000.0
2023-03-23,174899627112.99997,193074790000.0
2023-03-24,175025622207.0001,191090900000.0
2023-03-27,175905246920.99988,188210140000.0
2023-03-28,177204157101.9999,184954650000.0
2023-03-29,178163184251.0003,181342010000.0
2023-03-30,178186425799.0003,178782080000.0
2023-03-31,178486926376.00027,176978460000.0
2023-04-03,179578969176.0001,177022350000.0
2023-04-04,181038545898.9998,177013570000.0
2023-04-05,181502243614.99988,176103310000.0
2023-04-06,182132717354.00027,175002370000.0
2023-04-10,182539015993.99994,172668190000.0
2023-04-11,183405243000.0003,170557950000.0
2023-04-12,183191332688.99982,169525280000.0
2023-04-13,182504906496.99985,169240330000.0
2023-04-14,181978471771.00018,169313300000.0
2023-04-17,181416433460.0003,169102880000.0
2023-04-18,181574801638.0003,169140300000.0
2023-04-19,181611618998.9998,169261970000.0
2023-04-20,181351789535.9998,169519780000.0
2023-04-21,180997469619.99976,169606150000.0
2023-04-24,181257695910.99973,169582200000.0
2023-04-25,180296556598.99976,169131590000.0
2023-04-26,179927725129.00003,169268740000.0
2023-04-27,178952112920.99985,170087220000.0
2023-04-28,178559266502.99973,170789390000.0
2023-05-01,182175464894.00024,171880560000.0
2023-05-02,181156302423.0003,171326750000.0
2023-05-03,179977243365.00015,172611880000.0
2023-05-04,178453576425.00027,174281200000.0
2023-05-05,178647998826.00027,175506800000.0
2023-05-08,180598115751.99994,175219800000.0
2023-05-09,180957360130.00018,173500800000.0
2023-05-10,180142688771.99976,171507900000.0
2023-05-11,180553644295.99994,170963780000.0
2023-05-12,182701395170.00006,170015540000.0
2023-05-15,185164260803.0002,168351760000.0
2023-05-16,187302676148.99997,166298370000.0
2023-05-17,193994354958.9999,164767100000.0
2023-05-18,194813568046.00015,164578660000.0
2023-05-19,195715755886.0002,164986000000.0
2023-05-22,195732645368.00006,165144660000.0
2023-05-23,201727719984.9998,165103080000.0
2023-05-24,201707296062.9997,165472580000.0
2023-05-25,201539291328.99966,165277970000.0
2023-05-26,201672691170.9998,165971690000.0
2023-05-30,200661551933.99988,166180750000.0
2023-05-31,197024996784.99966,167210900000.0
2023-06-01,192946673174.0003,171450660000.0
2023-06-02,193045481188.00024,173495830000.0
2023-06-05,194761571674.00027,174311110000.0
2023-06-06,194683081627.0001,173544800000.0
2023-06-07,193570292454.99988,173101810000.0
2023-06-08,193746679674.99982,173779980000.0
2023-06-09,194732743658.9998,173086620000.0
2023-06-12,195134252304.99973,171871370000.0
2023-06-13,194335117746.9999,171060970000.0
2023-06-14,192511563322.9999,171898600000.0
2023-06-15,191551077220.99976,173286800000.0
2023-06-16,185673421428.00006,174750880000.0
2023-06-20,185236531489.99976,180570280000.0
2023-06-21,185351049030.00012,182620750000.0
2023-06-22,185237467551.00015,182571650000.0
2023-06-23,179121196044.00027,180484200000.0
2023-06-26,179466032280.9998,183779440000.0
2023-06-27,180503402692.99973,182588340000.0
2023-06-28,180638601149.00015,180992000000.0
2023-06-29,182027330651.99976,178893950000.0
2023-06-30,182211440068.99994,176546920000.0
2023-07-03,187119112743.99966,174910600000.0
2023-07-05,188499774481.9999,168313540000.0
2023-07-06,188160734407.00034,166541520000.0
2023-07-07,187809105059.00012,167676850000.0
2023-07-10,188365750232.99997,168819930000.0
2023-07-11,189424293645.00018,169925080000.0
2023-07-12,190128366930.00015,170490610000.0
2023-07-13,189499433018.99976,171691840000.0
2023-07-14,188609865147.9999,172697830000.0
2023-07-17,188788108897.99973,173183730000.0
2023-07-18,190000893488.00003,172785480000.0
2023-07-19,189940966669.0003,172842170000.0
2023-07-20,189743624011.00018,173534530000.0
2023-07-21,188787060441.00018,173843630000.0
2023-07-24,188660491824.00006,174044020000.0
2023-07-25,188270503042.9999,172998840000.0
2023-07-26,188098623713.00018,172082630000.0
2023-07-27,185688859265.99997,171087070000.0
2023-07-28,183875526285.00018,171702320000.0
2023-07-31,182547882643.00015,171475500000.0
2023-08-01,181299976504.00003,172172590000.0
2023-08-02,180095236447.00006,171795020000.0
2023-08-03,177028428670.99982,173035800000.0
2023-08-04,175442364517.0001,175102530000.0
2023-08-07,174725829002.0002,176498770000.0
2023-08-08,173642768043.99988,175435150000.0
2023-08-09,171561304432.00018,175520840000.0
2023-08-10,169656590442.9997,175910290000.0
2023-08-11,169317623431.0,176885660000.0
2023-08-14,169615736536.00027,176332540000.0
2023-08-15,169775235799.99982,174819210000.0
2023-08-16,175335692476.00012,173908950000.0
2023-08-17,174250415622.99994,174557320000.0
2023-08-18,173695101576.99976,174961310000.0
2023-08-21,173801090991.00012,174831900000.0
2023-08-22,174738357329.00012,173678600000.0
2023-08-23,174514227597.99997,171908430000.0
2023-08-24,173809172587.0002,170221580000.0
2023-08-25,174772218206.99976,168928480000.0
2023-08-28,176952688517.99988,166916150000.0
2023-08-29,177446957946.00006,164039300000.0
2023-08-30,179030939141.99994,163012850000.0
2023-08-31,178979286563.99997,162041000000.0
2023-09-01,180384144434.00027,162653180000.0
2023-09-05,180570476776.99982,162162210000.0
2023-09-06,180670814940.00012,162220690000.0
2023-09-07,180726164787.99985,162074700000.0
2023-09-08,180280475895.0001,162451980000.0
2023-09-11,180216880204.0001,161897660000.0
2023-09-12,179984545777.00012,161891480000.0
2023-09-13,180298349052.99982,161983220000.0
2023-09-14,179653654042.0002,162597360000.0
2023-09-15,171783202830.00015,163256170000.0
2023-09-18,171987231466.99973,169856070000.0
2023-09-19,172211795250.99985,171872370000.0
