date,actual,pred
2023-01-03,198078988586.9998,172488470000.0
2023-01-04,199281562814.99985,173854240000.0
2023-01-05,200325634433.00015,174271230000.0
2023-01-06,201244041547.9997,175676240000.0
2023-01-09,201042969971.9999,175141960000.0
2023-01-10,202328611942.00003,177151400000.0
2023-01-11,201436716911.0002,178966300000.0
2023-01-12,199506047697.99988,181497740000.0
2023-01-13,199391850617.99988,179995690000.0
2023-01-17,199067015776.99976,176744020000.0
2023-01-18,198866876121.0001,177753180000.0
2023-01-19,199264465671.9998,180475940000.0
2023-01-20,198457946960.9999,183274670000.0
2023-01-23,197258392047.99997,185030160000.0
2023-01-24,196799916921.00006,186972500000.0
2023-01-25,195900789075.99988,187181970000.0
2023-01-26,194623819267.99966,188267600000.0
2023-01-27,194607573043.9997,189990450000.0
2023-01-30,194908121010.00015,189636740000.0
2023-01-31,194343909476.0,191349490000.0
2023-02-01,192230782599.00018,193123390000.0
2023-02-02,188510910212.99997,191149600000.0
2023-02-03,187469614698.99973,195149580000.0
2023-02-06,186470245597.00006,196945170000.0
2023-02-07,185901990603.0003,199655130000.0
2023-02-08,188462779932.00003,200907330000.0
2023-02-09,191352392275.99976,203012870000.0
2023-02-10,193771389434.99985,205896630000.0
2023-02-13,198130000976.00003,206110360000.0
2023-02-14,200408692627.9997,204840580000.0
2023-02-15,208347715076.0002,202149280000.0
2023-02-16,209440048202.99973,200148520000.0
2023-02-17,210253044439.00027,201673650000.0
2023-02-21,210722920979.9998,201814110000.0
2023-02-22,211904545906.99973,205499960000.0
2023-02-23,212206175713.00015,205282560000.0
2023-02-24,212326692021.99997,203087230000.0
2023-02-27,211967369031.00024,202333270000.0
2023-02-28,210470395720.99963,199738520000.0
2023-03-01,210005826246.99976,199330190000.0
2023-03-02,210283096590.00012,199181960000.0
2023-03-03,210262481217.9999,198243520000.0
2023-03-06,209659414653.99963,196692540000.0
2023-03-07,208528535438.99982,196184080000.0
2023-03-08,207335947081.99966,197746150000.0
2023-03-09,205573529676.00003,197422830000.0
2023-03-10,202261567671.00018,202189770000.0
2023-03-13,198219705873.99997,207915190000.0
2023-03-14,195710058245.99985,213807660000.0
2023-03-15,191544464086.9999,212132050000.0
2023-03-16,188860861332.99985,215863840000.0
2023-03-17,180396368150.0003,210745560000.0
2023-03-20,178717603638.0002,215180660000.0
2023-03-21,177418681853.0,212941200000.0
2023-03-22,176381890640.00027,207263860000.0
2023-03-23,174899627112.99997,205244560000.0
2023-03-24,175025622207.0001,204512260000.0
2023-03-27,175905246920.99988,201625960000.0
2023-03-28,177204157101.9999,197645860000.0
2023-03-29,178163184251.0003,193959890000.0
2023-03-30,178186425799.0003,190257350000.0
2023-03-31,178486926376.00027,188212300000.0
2023-04-03,179578969176.0001,188561560000.0
2023-04-04,181038545898.9998,188677050000.0
2023-04-05,181502243614.99988,190395290000.0
2023-04-06,182132717354.00027,190684580000.0
2023-04-10,182539015993.99994,188862460000.0
2023-04-11,183405243000.0003,188827160000.0
2023-04-12,183191332688.99982,188820680000.0
2023-04-13,182504906496.99985,188580610000.0
2023-04-14,181978471771.00018,186873050000.0
2023-04-17,181416433460.0003,184838280000.0
2023-04-18,181574801638.0003,184005670000.0
2023-04-19,181611618998.9998,184129260000.0
2023-04-20,181351789535.9998,184614900000.0
2023-04-21,180997469619.99976,186252440000.0
2023-04-24,181257695910.99973,188694700000.0
2023-04-25,180296556598.99976,190077440000.0
2023-04-26,179927725129.00003,193684850000.0
2023-04-27,178952112920.99985,195257550000.0
2023-04-28,178559266502.99973,194420640000.0
2023-05-01,182175464894.00024,192514360000.0
2023-05-02,181156302423.0003,191946780000.0
2023-05-03,179977243365.00015,194997390000.0
2023-05-04,178453576425.00027,197793300000.0
2023-05-05,178647998826.00027,202293920000.0
2023-05-08,180598115751.99994,198776620000.0
2023-05-09,180957360130.00018,196705270000.0
2023-05-10,180142688771.99976,196059140000.0
2023-05-11,180553644295.99994,194878780000.0
2023-05-12,182701395170.00006,194026130000.0
