date,actual,pred
2023-01-03,9164333425.00001,7457031319.700993
2023-01-04,8389422002.999992,8147717088.638672
2023-01-05,8952426811.999985,7867343986.343585
2023-01-06,9117780348.999992,9762191622.603909
2023-01-09,8334395026.000013,9900380288.116314
2023-01-10,9333069955.999996,8612755853.971394
2023-01-11,9801099279.000006,9328458494.207827
2023-01-12,8828645599.0,9663054694.712437
2023-01-13,9179245684.999987,9188677209.467249
2023-01-17,9276983915.999998,9097912242.78655
2023-01-18,8361290827.999996,9342516213.868692
2023-01-19,9743166286.000006,8503456368.013739
2023-01-20,9724810790.000015,9291991628.122412
2023-01-23,8915818125.999989,9727178295.469316
2023-01-24,9089864668.999985,9687348291.763615
2023-01-25,9466431282.999992,9268268445.4927
2023-01-26,10036246462.999994,9335097477.059328
2023-01-27,8722827422.999987,9557876583.978916
2023-01-30,10026759608.00001,8681128056.62304
2023-01-31,11093679105.99998,9053519128.644476
2023-02-01,12520691954.999989,10343759969.115171
2023-02-02,10366907652.999987,11857790627.45616
2023-02-03,9433493620.999994,10502523582.667585
2023-02-06,9870833927.000004,9324506695.996954
2023-02-07,8916708773.000015,9573365796.426752
2023-02-08,9620036995.999985,9548998615.674118
2023-02-09,8441174924.999986,9408418730.967127
2023-02-10,7870430065.999994,8842363496.76681
2023-02-13,8714448519.00001,8200804892.066678
2023-02-14,8854410844.000013,8484269130.567313
2023-02-15,9076844260.000013,8603812511.43433
2023-02-16,8758880379.000002,9742907151.338142
2023-02-17,8936647574.99999,8849533697.958935
2023-02-21,8525255877.000006,9692013803.08376
2023-02-22,8457342998.999986,8498262398.925198
2023-02-23,8190736823.999991,8383581219.612997
2023-02-24,8189461475.000008,8322917892.162702
2023-02-27,10020000239.000006,8286061003.696961
2023-02-28,9023375388.99999,8988529100.594213
2023-03-01,9462548073.999987,8921002094.683245
2023-03-02,8980552229.000002,9438834967.098167
2023-03-03,8800819569.000011,9457837266.25572
2023-03-06,9325612139.000008,8627303247.440102
2023-03-07,8434124518.9999895,9255649761.40492
2023-03-08,9302578932.999994,8589251061.833941
2023-03-09,11477498102.000017,9540685855.68688
2023-03-10,12509649340.000011,10428819500.521114
2023-03-13,10860172084.000002,10899236425.150318
2023-03-14,12229041606.999994,10200385101.170767
2023-03-15,10993140171.000002,11661470669.771475
2023-03-16,16793433291.99998,11782082965.39132
2023-03-17,10169177386.999989,11995768477.670206
2023-03-20,9571876614.999992,10334051659.033957
2023-03-21,9406524116.00001,9571136713.962229
2023-03-22,9706880804.000008,9180117669.294111
2023-03-23,8758972805.000008,9314556460.224123
2023-03-24,8311253132.999989,9087498537.439775
2023-03-27,7830138483.999995,8423827962.814559
2023-03-28,8523026929.000003,8083802833.056307
2023-03-29,8558805915.000007,8306722689.078383
2023-03-30,9739818416.999996,8484086743.558765
2023-03-31,8959936857.000008,9387471265.205963
2023-04-03,8197753005.000001,9860461813.297873
2023-04-04,8194732924.000014,8471075571.207937
2023-04-05,7241536161.999999,8592118900.75109
2023-04-06,7540161527.000009,7405711731.391746
2023-04-10,8165536097.0,7385584858.1614895
2023-04-11,8467787542.999994,7974872982.010965
2023-04-12,8350524455.999992,8437278738.005358
2023-04-13,8063447447.999996,8436386216.339907
2023-04-14,8309537416.9999895,8211939983.763767
2023-04-17,8328940108.999994,8223845905.829336
2023-04-18,8490412875.000013,9069728391.09755
2023-04-19,8272954829.999988,8562996117.172424
2023-04-20,8369732902.999988,8232208346.188593
2023-04-21,8224617277.000005,8503091397.902912
2023-04-24,8884967898.999998,8399478217.00245
2023-04-25,9190877846.999996,8967441177.588284
2023-04-26,9129048664.999996,9669968994.884563
2023-04-27,9482054078.000008,9311800978.325583
2023-04-28,8582047462.999998,9628071607.021515
2023-05-01,10040318993.999996,8274193609.163644
2023-05-02,10051979657.000006,9137489472.37003
2023-05-03,9657329728.0,9467431276.329235
2023-05-04,8658430640.000015,9813218652.903608
2023-05-05,7872009901.0000105,9076289460.810452
2023-05-08,7946460166.999988,8241930743.943304
2023-05-09,9031763103.000004,8107474061.479622
2023-05-10,8253877231.9999895,8453207592.382232
2023-05-11,7664098264.000009,8205194682.39213
2023-05-12,7537012722.000008,7926075202.393803
2023-05-15,7747499105.999988,7637158027.943366
2023-05-16,8487308287.000002,8030650627.218796
2023-05-17,8527230236.000002,8299936400.994505
2023-05-18,8013125366.999996,8601296160.925951
2023-05-19,8015412986.999988,8013896378.068892
2023-05-22,8484843568.000001,8169430991.457473
2023-05-23,7923828586.9999895,8937955556.24107
2023-05-24,8822046376.999996,8525268894.757694
2023-05-25,8153436456.999991,8532141291.320195
2023-05-26,9089207659.999996,8434819682.256813
2023-05-30,12198245853.999979,8746928136.426239
2023-05-31,9021156523.000013,9865799351.998854
2023-06-01,8872920598.999994,9007694558.775177
2023-06-02,8133662788.000008,9139143249.769432
2023-06-05,8852853041.0,8474536765.756154
2023-06-06,9822126827.000008,8696145614.34894
2023-06-07,8305704544.999997,9380649745.848007
2023-06-08,8217091745.000006,8527984612.117075
2023-06-09,8664832756.000008,8505027430.943068
2023-06-12,9811849138.000013,8469152646.224662
2023-06-13,9999878355.000004,9263113252.88043
2023-06-14,9885914451.999998,9495835819.240072
2023-06-15,15178987096.999985,10075358644.602362
2023-06-16,9346443323.000002,10233841898.663273
2023-06-20,8915313207.0,9700411451.836887
2023-06-21,8032302468.9999895,9337100149.904263
2023-06-22,14479918185.00001,8313869728.671442
2023-06-23,7903404665.000008,9314816104.263775
2023-06-26,8654041643.000008,8318546377.365052
2023-06-27,8286836299.000001,8416058836.744608
2023-06-28,8078068423.00001,8446706629.198693
2023-06-29,8561690705.000008,8248658573.210649
2023-06-30,4942832911.999992,8427424347.10349
2023-07-03,8971728613.000008,5943850349.029827
2023-07-05,9849753273.999992,7481425213.293012
2023-07-06,8774362994.000008,9125174065.635666
2023-07-07,8709337655.000008,8235862787.9212675
2023-07-10,8482091764.999994,8430095667.826936
2023-07-11,9203155728.999998,8677088978.134405
2023-07-12,9066341401.999996,9741695523.71726
2023-07-13,9012714579.999985,9750929659.195696
2023-07-14,8176323931.000001,9785745577.577915
2023-07-17,8925428349.99999,8428813503.874572
2023-07-18,9301331303.999994,8908293037.315935
2023-07-19,8909553385.000008,9540966985.39518
2023-07-20,9029830747.000002,9256691092.015182
2023-07-21,7918720989.9999895,9518511816.127161
2023-07-24,8363646677.999995,8264408841.656507
2023-07-25,8248240902.000011,8397829475.610096
2023-07-26,9691412055.0,8443090146.907379
2023-07-27,8422034754.999999,8975228433.770119
2023-07-28,9466797926.00001,8644726692.72571
2023-07-31,8745800122.000015,9358837617.181606
2023-08-01,9850505587.000011,8806435509.729658
2023-08-02,10352390350.999992,9442488724.98434
2023-08-03,9510713199.0,9488063898.180693
2023-08-04,8422733646.000004,10125805368.44675
2023-08-07,9265982828.999985,8874097296.141556
2023-08-08,9540635177.000008,9173027322.379705
2023-08-09,9907229014.000006,9649257437.815392
2023-08-10,8437407491.00001,9396601235.04245
2023-08-11,8123146708.999997,8598458815.29241
2023-08-14,8354567680.9999895,8503604663.033702
2023-08-15,10138212939.999992,8534800420.647665
2023-08-16,9241404484.999998,9223783746.473856
2023-08-17,8712210727.000015,9230212939.02763
2023-08-18,8073267176.9999895,8789645384.793777
2023-08-21,7792152373.000009,8385599173.448715
2023-08-22,7973657897.000007,7986303464.574865
2023-08-23,8076361572.000006,8539706662.715917
2023-08-24,7281647607.999995,8549352809.691563
2023-08-25,6608701773.999993,7458486332.703671
2023-08-28,8139154283.999999,7048942165.53079
2023-08-29,7497893983.000007,7482590308.994147
2023-08-30,8645765529.99999,7498861820.204604
2023-08-31,7285582575.000007,8042107730.546261
2023-09-01,7924649044.999999,7242822455.633517
2023-09-05,7706198131.000012,7893529235.993937
2023-09-06,8182921870.999987,7847881847.46205
2023-09-07,7459171564.999993,7996314263.939008
2023-09-08,8002515025.000014,7744187696.162535
2023-09-11,8098440479.000004,8394614545.859189
2023-09-12,8421259814.000009,8298368883.467613
2023-09-13,8514066944.999994,8601309096.918228
2023-09-14,15698669615.999994,8953986913.072927
2023-09-15,8156127632.000008,9726011998.997192
2023-09-18,8156896680.9999895,8224538246.693585
2023-09-19,8179256591.000003,8356106038.251796
2023-09-20,8729418710.999996,8514373554.861856
2023-09-21,7749528165.999987,8870684029.015568
2023-09-22,7371306561.000012,8302890734.46394
2023-09-25,8244693228.000004,7633561891.506311
2023-09-26,8789172085.00001,8315139174.133798
2023-09-27,8633423712.000013,8794043287.119547
2023-09-28,9081875178.999985,8460072870.497255
2023-09-29,8594112951.999987,9408241952.157333
2023-10-02,8690440444.999987,8451986076.180144
2023-10-03,8110981387.999987,8530390109.6860485
2023-10-04,7806536293.999999,8330106671.948165
2023-10-05,8238271719.000002,7986649599.302156
2023-10-06,7013482671.999995,8528012724.278491
2023-10-09,7938919333.999989,7245154366.2036915
2023-10-10,7866106052.000007,8069339617.327702
2023-10-11,8735063090.0,8305565419.768982
2023-10-12,7869371933.999999,8419857217.005013
2023-10-13,7828218403.999987,8388314123.221402
2023-10-16,8360156269.000001,7892444083.136052
2023-10-17,8381460465.000003,8409553228.619896
