date,actual,pred
2023-01-03,43958357615.00006,35833053405.813545
2023-01-04,44127094146.00004,40957608648.06275
2023-01-05,45538771422.00004,40347522519.24936
2023-01-06,45414990209.0,46506039279.9109
2023-01-09,45476455544.99999,45231279913.52035
2023-01-10,46419044434.99992,43584260915.59639
2023-01-11,45447265307.00006,45643281001.03714
2023-01-12,45389332313.99993,46580063586.35963
2023-01-13,46285497505.000084,45666141608.18891
2023-01-17,46022069946.00007,47209215959.90664
2023-01-18,45834950699.00003,46890004555.71899
2023-01-19,46940091153.99999,43606659707.8339
2023-01-20,47233171331.00004,46589174664.680115
2023-01-23,46231187963.99997,46630355358.876205
2023-01-24,47342129446.00005,47897256952.89625
2023-01-25,49345943883.0,47519501206.50063
2023-01-26,52400204554.99996,46696707528.177536
2023-01-27,52730865745.00003,45591808460.11937
2023-01-30,53441531942.99995,43679779977.19518
2023-01-31,53285606261.99993,46114566703.3666
2023-02-01,51108635928.99996,50412828849.325615
2023-02-02,48207980969.99996,54573119911.458725
2023-02-03,46282248241.99998,50558362759.495346
2023-02-06,44719184686.99992,45552260431.97963
2023-02-07,43562799279.000046,48767809566.86698
2023-02-08,43500501349.999985,47676443627.4589
2023-02-09,42957308613.99995,46713227379.85624
2023-02-10,43275014068.00005,46032571989.15974
2023-02-13,44341231576.999954,41383000388.09686
2023-02-14,44152038934.999985,42453387474.96501
2023-02-15,43754971090.000046,43138596460.25421
2023-02-16,42868863654.000046,45670646049.51328
2023-02-17,42299444749.99993,45639536293.83797
2023-02-21,43382797414.00006,46472507491.44351
2023-02-22,43880916925.99996,44898242299.31154
2023-02-23,44886122000.99996,44521063782.41718
2023-02-24,45675937405.999985,43435180744.004326
2023-02-27,46287295500.00008,44338981811.41426
2023-02-28,45592907400.00007,44463884871.30604
2023-03-01,45003656529.99999,44124086669.34276
2023-03-02,44843687389.00006,46355686795.58302
2023-03-03,47340633261.99992,46609925900.7598
2023-03-06,51049463033.00003,44625367374.87594
2023-03-07,52584022977.99996,46790223758.578224
2023-03-08,56378940066.00004,44627550806.12542
2023-03-09,58069501303.99991,46393042427.44771
2023-03-10,63385436493.99996,49851520017.74136
2023-03-13,61044964541.000015,50260717621.493454
2023-03-14,59756669071.99997,49951012079.05514
2023-03-15,56934151580.999985,59400555011.71606
2023-03-16,55647892214.00003,56880707316.98895
2023-03-17,47613431726.999954,55626039811.07128
2023-03-20,45755507473.0,49894307981.81855
2023-03-21,44013769342.00001,46248775755.62293
2023-03-22,43130272154.99993,45550829363.2217
2023-03-23,41982197265.999985,46959867700.71868
2023-03-24,42963042877.99994,45131068818.963295
2023-03-27,43611726601.99996,44288317824.61225
2023-03-28,43979341122.999954,41359920217.97713
2023-03-29,43651047117.999985,41541852554.61343
2023-03-30,42333777365.00007,43909322627.65682
2023-03-31,40134120474.99999,46751285883.934845
2023-04-03,39339719715.000015,48310755298.31313
2023-04-04,39609754253.00004,43222302273.4299
2023-04-05,39765545784.99998,44677101614.40781
2023-04-06,40587457071.00002,38269687112.93203
2023-04-10,41356832961.00001,37982297221.936226
2023-04-11,41520236972.99994,40469080735.73097
2023-04-12,41542862304.999954,42258558510.6962
2023-04-13,41465292679.00007,42910803431.36831
2023-04-14,41771578134.000046,41952575894.41463
2023-04-17,41686657993.999954,43747331056.11195
2023-04-18,42242685783.99997,44220667534.89556
2023-04-19,42943150756.000046,43867488139.956024
2023-04-20,43799244591.00001,42665313104.84531
2023-04-21,44911565766.00006,43723985009.447014
2023-04-24,45268995951.99996,43509710752.40677
2023-04-25,46424347047.00006,44703568190.49767
2023-04-26,47285448857.00001,45941677806.37172
2023-04-27,47813729920.000046,45584727955.01858
2023-04-28,46990106481.99996,45962220686.1757
2023-05-01,46280068919.99996,43162745292.456024
2023-05-02,44186210093.000046,46491883152.72712
2023-05-03,43165993539.000015,47359164679.44469
2023-05-04,41762541043.00003,46697042138.50584
2023-05-05,40768208667.00003,45207548836.15942
2023-05-08,40433211488.00001,41988566082.593666
2023-05-09,40234250426.99999,39890616192.714195
2023-05-10,39689795611.00003,42283612017.9885
2023-05-11,39963148614.99993,40849023749.46543
2023-05-12,40312175717.99994,41075760194.27616
2023-05-15,40790575983.00002,39920384715.332016
2023-05-16,41527920444.99998,40750370156.58027
2023-05-17,40964440744.99996,41722064169.89355
2023-05-18,41259256885.99999,44010014527.736176
2023-05-19,41399567976.000046,41281872294.54484
2023-05-22,42473362649.00001,42664823265.18933
2023-05-23,46186764935.00008,44581993594.653046
2023-05-24,47284092870.99996,40839765805.49247
2023-05-25,47334967092.999985,41598712481.24464
2023-05-26,47315193424.00008,43222891495.45999
2023-05-30,47078838805.000015,42315613886.24618
2023-05-31,44702719777.99998,46692235780.43551
2023-06-01,43987267800.00006,45417168103.23209
2023-06-02,43331438945.999954,44656527730.95989
2023-06-05,43862608913.99999,44479817447.92513
2023-06-06,44821605011.000046,45235459915.25967
2023-06-07,44999356539.00007,45031179083.71281
2023-06-08,46579566445.99997,42971747364.85182
2023-06-09,53541461798.00007,43427795014.471146
2023-06-12,54223072365.000084,44153107993.45892
2023-06-13,53326536434.000015,46433219363.115944
2023-06-14,51358960547.99999,47207783678.43001
2023-06-15,55952964281.00003,47865255183.15454
2023-06-16,48677381848.999985,48742190840.17825
2023-06-20,47984980168.99992,45885437123.10084
2023-06-21,47356503260.99993,45120837082.749985
2023-06-22,47402269215.00003,43827610322.143684
2023-06-23,41484041735.00008,45364599607.519875
2023-06-26,38523469982.00007,41890033268.67279
2023-06-27,38841156951.99996,40837552094.47221
2023-06-28,40404073927.00003,44015783159.34493
2023-06-29,41100368498.00002,42368059991.45976
2023-06-30,41248015447.99999,45550519184.896225
2023-07-03,44787274301.00005,29801136684.88234
2023-07-05,45018701416.99999,36399501871.32976
2023-07-06,44235289544.99995,43534779670.299515
2023-07-07,44473641131.000015,42337192655.124084
2023-07-10,43940627406.999954,44702221598.58721
2023-07-11,44383963991.99996,46726659867.11868
2023-07-12,44482139566.99998,46883889731.265686
2023-07-13,44325351549.99993,46435648044.690704
2023-07-14,44342467717.000015,46721907724.00432
2023-07-17,44084864776.00008,43647390392.26279
2023-07-18,43523083104.00001,45003526537.03443
2023-07-19,42469992701.99999,44614828198.71496
2023-07-20,43251851371.99998,45363552294.475845
2023-07-21,42644055379.999985,45866491584.19437
2023-07-24,44192132316.0,42274760305.39746
2023-07-25,44574285759.99993,41926155334.31759
2023-07-26,46176550444.99997,43374814169.26847
2023-07-27,46837528741.0,44201239167.80135
2023-07-28,47926207185.00005,45016752240.52038
2023-07-31,46882142904.999954,47868225932.93166
2023-08-01,47402325611.99999,44781053862.78856
2023-08-02,47092455201.99992,46819708446.81679
2023-08-03,46647293864.99999,47440886194.61158
2023-08-04,45573988156.99994,47099106454.42049
2023-08-07,45274401220.00002,44770585253.966576
2023-08-08,44362986072.00005,46435559049.17855
2023-08-09,44960563834.99999,46283449816.83578
2023-08-10,44294739306.00005,46202150021.90046
2023-08-11,44569542541.99993,43756305057.05034
2023-08-14,44519663009.99997,42053342104.42332
2023-08-15,43957247702.000015,45400896960.66829
2023-08-16,41792692658.99996,45184030165.82447
2023-08-17,40627649746.00007,45835231125.01396
2023-08-18,39197086626.99994,44048082628.57458
2023-08-21,37732521224.0,44659850860.979546
2023-08-22,38079523135.000015,41648264181.16549
2023-08-23,37603759220.99997,41720320932.81109
2023-08-24,38173163178.99998,41980448744.696045
2023-08-25,38177098146.00007,38508716595.13674
2023-08-28,39493045417.0,35796146809.73394
2023-08-29,39060089263.999985,37726872931.75076
2023-08-30,39745117152.00005,36762651011.40821
2023-08-31,38558523187.00006,40488448801.68254
2023-09-01,39275455637.00003,36721814916.285225
2023-09-05,39449247071.00005,38052036805.30651
2023-09-06,40164308754.000046,39124717615.24289
2023-09-07,40495453827.999985,40809816963.44568
2023-09-08,48734951879.000015,40405345577.35513
2023-09-11,48888564486.0,42005875080.30435
2023-09-12,48947020687.999985,41618753728.278656
2023-09-13,48705017465.00006,42667741547.36147
2023-09-14,48920369231.0,44652304669.468636
2023-09-15,40971227781.00002,45503526186.77592
2023-09-18,40186406709.99995,42548941443.048035
2023-09-19,40274203257.000046,42981362069.23303
2023-09-20,40884118751.0,44476463334.981346
2023-09-21,40788123752.00001,43454302820.920456
2023-09-22,42120470765.000046,40711476656.12295
2023-09-25,43343277156.000046,40018012967.01859
2023-09-26,43789024373.000046,43129370610.550095
2023-09-27,43110833676.00002,43171371491.579994
2023-09-28,42283946257.99994,42193716369.53763
2023-09-29,41440342797.99994,46939760423.24369
2023-10-02,39859712517.99999,44356388762.66495
2023-10-03,39108191407.0,45102611545.66342
2023-10-04,38863316071.00007,45114063191.27203
2023-10-05,39791842866.999954,41727182220.77855
2023-10-06,39422943082.00001,42084509023.30471
2023-10-09,40237678813.999985,38163779355.21309
2023-10-10,40658915749.00004,38043663849.65736
2023-10-11,41174270161.99997,39445181881.514114
2023-10-12,41534860559.99994,40719719737.29584
2023-10-13,42382088421.99998,40441333471.05254
2023-10-16,43077127763.99997,38701080537.99533
2023-10-17,43287594798.000015,41422385408.98272
2023-10-18,43468586646.00008,42380602503.947044
2023-10-19,43681185918.00002,45672181353.78019
2023-10-20,43238681921.000046,44780281754.9195
2023-10-23,42850809998.99995,44302264041.35191
2023-10-24,42922047094.00008,45100674482.61394
2023-10-25,43177714245.99994,45716883294.116615
2023-10-26,43589375486.00008,47785610212.12893
2023-10-27,44826086713.99999,44700660772.576706
2023-10-30,44740157820.00002,43705813135.496895
2023-10-31,44294603439.99998,44372395986.61974
2023-11-01,43957323369.00004,44891623188.76846
2023-11-02,43460363428.99999,47669409806.00231
2023-11-03,42361784208.99995,47400329451.92438
2023-11-06,42007738377.00004,43238330235.75498
2023-11-07,43887545475.99996,44092867722.602554
2023-11-08,44890214956.99996,44506739682.25877
2023-11-09,44236673854.00007,46583002234.36982
2023-11-10,44049833588.000015,42455405350.67137
2023-11-13,44633231192.99997,40583888498.71588
2023-11-14,42209191822.00007,44879189210.95432
2023-11-15,39621636441.999954,44666015996.47667
2023-11-16,35230526095.00005,40919017402.37028
2023-11-17,34642665091.99994,46287838403.06725
2023-11-20,34465850192.999954,44578173970.721855
2023-11-21,36179207273.000046,41736068326.5836
2023-11-22,40637947098.000015,39233478953.90663
2023-11-24,46506587720.99998,32400828895.164745
2023-11-27,49624453225.00001,36804094417.65791
2023-11-28,51661636509.99998,39245146326.03768
2023-11-29,51851980407.000084,40564532379.040146
2023-11-30,50094636076.99994,48597784191.68923
2023-12-01,49258227085.0,47730599696.248825
2023-12-04,48014760361.999916,51259871649.47336
2023-12-05,46701903601.99999,49755301926.207924
2023-12-06,49296790268.99998,46216855722.64843
2023-12-07,54087906485.999916,45736629831.12149
2023-12-08,62459422453.00008,46884159970.90673
2023-12-11,63058917048.000015,46631371970.90761
2023-12-12,64130889633.999916,45550948482.8193
2023-12-13,62512848456.99989,47516115211.37547
2023-12-14,57125824310.0001,48033502225.43367
2023-12-15,47437497181.00003,49840989895.850044
2023-12-18,43801679480.00003,48208263985.03704
2023-12-19,40805539207.99993,49163124249.43237
2023-12-20,38115216622.99998,49700257322.24732
2023-12-21,37787710941.99994,45837598962.43053
2023-12-22,39460311748.00003,42452498932.381325
2023-12-26,42485941218.00001,37071356565.43958
2023-12-27,44794955739.00006,35757572672.99657
2023-12-28,46091270690.000046,38327826917.360344
2023-12-29,47558253163.000046,38944680655.44956
2024-01-02,46662408793.99996,41168651343.58847
2024-01-03,45108285447.99999,45016828655.634544
2024-01-04,44841462952.00005,47835082666.71881
2024-01-05,44185025897.000015,46751814678.23827
2024-01-08,44849300925.000015,46708911721.19687
2024-01-09,45329490212.00008,43235725089.98147
2024-01-10,47030428825.00004,42232502490.859436
2024-01-11,47974556556.999985,43536386717.48771
2024-01-12,49306000628.99994,44184613265.248344
2024-01-16,47685736441.00006,46892620196.91656
2024-01-17,47957666819.00004,46240089750.50298
2024-01-18,47680281836.00003,47863337691.08753
2024-01-19,45694910003.999916,47415293337.02149
2024-01-22,44435258688.00001,46780996874.111115
2024-01-23,43947413331.0,47614509984.26401
