date,actual,pred
2023-01-03,43958357615.00006,36778743670.40261
2023-01-04,44127094146.00004,40642284566.88768
2023-01-05,45538771422.00004,41121556349.94421
2023-01-06,45414990209.0,45696654681.78065
2023-01-09,45476455544.99999,45252763399.19581
2023-01-10,46419044434.99992,43644249720.67396
2023-01-11,45447265307.00006,45214913200.2326
2023-01-12,45389332313.99993,45455827177.30813
2023-01-13,46285497505.000084,44720093939.38194
2023-01-17,46022069946.00007,45878967693.593445
2023-01-18,45834950699.00003,45869849375.65842
2023-01-19,46940091153.99999,43886596281.34051
2023-01-20,47233171331.00004,45774673607.95009
2023-01-23,46231187963.99997,45925762462.54912
2023-01-24,47342129446.00005,45943603915.793274
2023-01-25,49345943883.0,46207440248.84762
2023-01-26,52400204554.99996,46009425506.569496
2023-01-27,52730865745.00003,45267569500.96666
2023-01-30,53441531942.99995,44199652911.36739
2023-01-31,53285606261.99993,45973083288.30415
2023-02-01,51108635928.99996,47902394164.19889
2023-02-02,48207980969.99996,50940271560.01283
2023-02-03,46282248241.99998,50585023436.441154
2023-02-06,44719184686.99992,47908349069.79895
2023-02-07,43562799279.000046,47373208227.213615
2023-02-08,43500501349.999985,45805351977.59721
2023-02-09,42957308613.99995,45874186082.404724
2023-02-10,43275014068.00005,44290842296.724556
2023-02-13,44341231576.999954,42134461954.05964
2023-02-14,44152038934.999985,42459853004.74786
2023-02-15,43754971090.000046,43865681641.10656
2023-02-16,42868863654.000046,45234425124.70871
2023-02-17,42299444749.99993,45133261590.83956
2023-02-21,43382797414.00006,45704768745.66951
2023-02-22,43880916925.99996,44841634900.72799
2023-02-23,44886122000.99996,44405838807.28505
2023-02-24,45675937405.999985,43732089046.48548
2023-02-27,46287295500.00008,43620390608.9776
2023-02-28,45592907400.00007,44051861802.22829
2023-03-01,45003656529.99999,44591112890.99284
2023-03-02,44843687389.00006,45644387724.81211
2023-03-03,47340633261.99992,45834401729.01102
2023-03-06,51049463033.00003,44853340583.65635
2023-03-07,52584022977.99996,45503158855.4861
