date,actual,pred
2023-01-03,9164333425.00001,7467066860.517297
2023-01-04,8389422002.999992,8270671193.749125
2023-01-05,8952426811.999985,7898884921.781486
2023-01-06,9117780348.999992,9662155019.358858
2023-01-09,8334395026.000013,9576723588.545197
2023-01-10,9333069955.999996,8610239847.151289
2023-01-11,9801099279.000006,9166170540.67073
2023-01-12,8828645599.0,9548597480.312395
2023-01-13,9179245684.999987,8870433781.070932
2023-01-17,9276983915.999998,9097786274.460844
2023-01-18,8361290827.999996,9412865966.619911
2023-01-19,9743166286.000006,8697973348.504215
2023-01-20,9724810790.000015,9304647922.49224
2023-01-23,8915818125.999989,9551701101.008522
2023-01-24,9089864668.999985,9100316369.185349
2023-01-25,9466431282.999992,9197094091.693727
2023-01-26,10036246462.999994,9246020413.297213
2023-01-27,8722827422.999987,9293083536.762766
2023-01-30,10026759608.00001,8807229502.779016
2023-01-31,11093679105.99998,9227431024.034615
2023-02-01,12520691954.999989,9792041501.845068
2023-02-02,10366907652.999987,10840220720.195679
2023-02-03,9433493620.999994,10223442219.89574
2023-02-06,9870833927.000004,9625949216.387856
2023-02-07,8916708773.000015,9424339738.507254
2023-02-08,9620036995.999985,9202730534.81407
2023-02-09,8441174924.999986,9308749102.551043
2023-02-10,7870430065.999994,8695139989.724466
2023-02-13,8714448519.00001,8286080091.377906
2023-02-14,8854410844.000013,8482898365.5071125
2023-02-15,9076844260.000013,8724245928.472467
2023-02-16,8758880379.000002,9453815268.89366
2023-02-17,8936647574.99999,9054461711.803577
2023-02-21,8525255877.000006,9278137916.778206
2023-02-22,8457342998.999986,8520708050.400904
2023-02-23,8190736823.999991,8436026131.804049
2023-02-24,8189461475.000008,8375671493.2075
2023-02-27,10020000239.000006,8269705107.0668125
2023-02-28,9023375388.99999,8999201231.611023
2023-03-01,9462548073.999987,8931653233.891184
2023-03-02,8980552229.000002,9117160647.576698
2023-03-03,8800819569.000011,9418874863.441088
2023-03-06,9325612139.000008,8954222998.086811
2023-03-07,8434124518.9999895,9202833909.179895
2023-03-08,9302578932.999994,8674799193.947763
2023-03-09,11477498102.000017,9384300207.622005
2023-03-10,12509649340.000011,10106066770.479755
2023-03-13,10860172084.000002,10732805768.268288
2023-03-14,12229041606.999994,10238455828.059254
2023-03-15,10993140171.000002,11885347668.593658
2023-03-16,16793433291.99998,11607167850.658289
2023-03-17,10169177386.999989,12067110649.065907
2023-03-20,9571876614.999992,10407640494.888428
2023-03-21,9406524116.00001,9557383722.604128
2023-03-22,9706880804.000008,9067590982.09767
2023-03-23,8758972805.000008,9213635957.028137
2023-03-24,8311253132.999989,8866610994.794598
2023-03-27,7830138483.999995,8563227462.14158
2023-03-28,8523026929.000003,8076947036.356047
2023-03-29,8558805915.000007,8162443002.9711685
2023-03-30,9739818416.999996,8539413349.851991
2023-03-31,8959936857.000008,9162428078.257877
2023-04-03,8197753005.000001,9305480026.687077
2023-04-04,8194732924.000014,8694109784.595148
2023-04-05,7241536161.999999,8542499207.4938135
2023-04-06,7540161527.000009,7528619126.944392
2023-04-10,8165536097.0,7442951563.515327
2023-04-11,8467787542.999994,8015199787.433781
2023-04-12,8350524455.999992,8056902991.856315
2023-04-13,8063447447.999996,8476456005.250191
2023-04-14,8309537416.9999895,8147244093.213111
2023-04-17,8328940108.999994,8406765908.86813
2023-04-18,8490412875.000013,8976204641.364685
2023-04-19,8272954829.999988,8585923321.007324
2023-04-20,8369732902.999988,8383095182.970739
2023-04-21,8224617277.000005,8524157120.817486
2023-04-24,8884967898.999998,8494843708.91143
2023-04-25,9190877846.999996,8846312370.453619
2023-04-26,9129048664.999996,9442779145.507309
2023-04-27,9482054078.000008,9317778988.1141
2023-04-28,8582047462.999998,9594922620.189772
2023-05-01,10040318993.999996,8846296643.862799
2023-05-02,10051979657.000006,9302206887.681648
2023-05-03,9657329728.0,9352979421.419666
2023-05-04,8658430640.000015,10208722827.710367
2023-05-05,7872009901.0000105,8854838640.53914
2023-05-08,7946460166.999988,8285842288.866659
2023-05-09,9031763103.000004,8274567849.282287
2023-05-10,8253877231.9999895,8657029588.828995
2023-05-11,7664098264.000009,8323659811.372088
2023-05-12,7537012722.000008,7938751435.6778
2023-05-15,7747499105.999988,7836419031.587709
2023-05-16,8487308287.000002,8076569831.176548
2023-05-17,8527230236.000002,8214652856.317434
2023-05-18,8013125366.999996,8598898156.03675
2023-05-19,8015412986.999988,8193115147.508207
2023-05-22,8484843568.000001,8375123978.707282
2023-05-23,7923828586.9999895,8719572605.431753
2023-05-24,8822046376.999996,8430943568.53383
2023-05-25,8153436456.999991,8599165640.117445
2023-05-26,9089207659.999996,8428917284.295434
2023-05-30,12198245853.999979,8947422521.368242
2023-05-31,9021156523.000013,9629130513.103111
2023-06-01,8872920598.999994,8950991658.875517
2023-06-02,8133662788.000008,9020631367.418053
2023-06-05,8852853041.0,8717783635.019386
2023-06-06,9822126827.000008,8878490017.695908
2023-06-07,8305704544.999997,9137756182.55373
2023-06-08,8217091745.000006,8379055813.22539
2023-06-09,8664832756.000008,8710143214.163795
2023-06-12,9811849138.000013,8855234638.56504
2023-06-13,9999878355.000004,9111625573.088675
2023-06-14,9885914451.999998,9098451511.44089
2023-06-15,15178987096.999985,9330662808.547205
2023-06-16,9346443323.000002,9416258928.113964
2023-06-20,8915313207.0,9054120808.706705
2023-06-21,8032302468.9999895,9095294025.416899
2023-06-22,14479918185.00001,8347437386.303271
2023-06-23,7903404665.000008,8958916216.632326
2023-06-26,8654041643.000008,8424547818.788197
2023-06-27,8286836299.000001,8575158132.975286
2023-06-28,8078068423.00001,8393089350.285438
2023-06-29,8561690705.000008,8385916683.724129
2023-06-30,4942832911.999992,8786553493.119972
2023-07-03,8971728613.000008,6328804188.199167
2023-07-05,9849753273.999992,7097897694.851622
2023-07-06,8774362994.000008,8161388455.930832
2023-07-07,8709337655.000008,7920884860.248904
2023-07-10,8482091764.999994,8860651288.035164
2023-07-11,9203155728.999998,8762673361.133894
2023-07-12,9066341401.999996,9272578252.87624
2023-07-13,9012714579.999985,9431446892.60391
2023-07-14,8176323931.000001,9354404704.065529
2023-07-17,8925428349.99999,8706524231.631254
2023-07-18,9301331303.999994,8877144425.211342
2023-07-19,8909553385.000008,9136100714.381746
2023-07-20,9029830747.000002,9038877734.117413
2023-07-21,7918720989.9999895,9228695134.428389
2023-07-24,8363646677.999995,8483290572.129212
2023-07-25,8248240902.000011,8765104079.004105
2023-07-26,9691412055.0,8541465743.120928
2023-07-27,8422034754.999999,8951947510.107695
2023-07-28,9466797926.00001,8484102514.446616
2023-07-31,8745800122.000015,9092916237.424557
2023-08-01,9850505587.000011,8974175257.538475
2023-08-02,10352390350.999992,9661680915.638119
2023-08-03,9510713199.0,9316405934.85485
2023-08-04,8422733646.000004,9830588801.24151
2023-08-07,9265982828.999985,8894868510.352407
2023-08-08,9540635177.000008,9135567883.676325
2023-08-09,9907229014.000006,9599569005.473003
2023-08-10,8437407491.00001,9338928094.615112
2023-08-11,8123146708.999997,8447281363.27307
2023-08-14,8354567680.9999895,8591721332.055853
2023-08-15,10138212939.999992,8532845505.692425
2023-08-16,9241404484.999998,9196936480.139492
2023-08-17,8712210727.000015,9305003428.87238
2023-08-18,8073267176.9999895,8871867050.446232
2023-08-21,7792152373.000009,8430922600.328711
2023-08-22,7973657897.000007,8084070086.602584
2023-08-23,8076361572.000006,8845989682.885887
2023-08-24,7281647607.999995,8429713436.171779
2023-08-25,6608701773.999993,7506081212.994703
2023-08-28,8139154283.999999,6939131031.955556
2023-08-29,7497893983.000007,7364222768.59589
2023-08-30,8645765529.99999,6897061793.372809
2023-08-31,7285582575.000007,7842938259.117188
2023-09-01,7924649044.999999,7035930554.961401
2023-09-05,7706198131.000012,7895735285.341893
2023-09-06,8182921870.999987,7881336840.48894
2023-09-07,7459171564.999993,7900980262.974934
2023-09-08,8002515025.000014,7487485720.30798
2023-09-11,8098440479.000004,8222773934.579661
2023-09-12,8421259814.000009,8260750291.605419
2023-09-13,8514066944.999994,8500603006.64345
2023-09-14,15698669615.999994,8931076937.162617
2023-09-15,8156127632.000008,9121039188.256132
2023-09-18,8156896680.9999895,8314718844.494543
2023-09-19,8179256591.000003,8706030571.08266
2023-09-20,8729418710.999996,8838653302.643156
2023-09-21,7749528165.999987,8691230090.53395
2023-09-22,7371306561.000012,8201368061.506195
2023-09-25,8244693228.000004,7697872346.027934
2023-09-26,8789172085.00001,8107556451.104869
2023-09-27,8633423712.000013,8548276759.29844
2023-09-28,9081875178.999985,8545164532.060007
2023-09-29,8594112951.999987,9237350417.317492
2023-10-02,8690440444.999987,8697066185.834955
2023-10-03,8110981387.999987,8567727545.70738
2023-10-04,7806536293.999999,8359012853.740222
2023-10-05,8238271719.000002,8095816436.4237
2023-10-06,7013482671.999995,8381176522.609765
2023-10-09,7938919333.999989,7576776039.460406
2023-10-10,7866106052.000007,7876936936.794652
2023-10-11,8735063090.0,8326563936.51458
2023-10-12,7869371933.999999,8279263669.130045
2023-10-13,7828218403.999987,8176741332.139308
2023-10-16,8360156269.000001,7762489570.097909
2023-10-17,8381460465.000003,8336145268.023938
2023-10-18,9095653487.999992,8392423745.763538
2023-10-19,8716599796.0,9255586542.134825
2023-10-20,8523257746.00001,8877699613.055733
2023-10-23,8570623302.999986,8588259433.106158
2023-10-24,8562452312.999999,8533170255.197307
