date,actual,pred
2023-01-03,9164333425.00001,7905276400.0
2023-01-04,8389422002.999992,7954387000.0
2023-01-05,8952426811.999985,8337000400.0
2023-01-06,9117780348.999992,9472753000.0
2023-01-09,8334395026.000013,9289764000.0
2023-01-10,9333069955.999996,8683076000.0
2023-01-11,9801099279.000006,9227866000.0
2023-01-12,8828645599.0,9513130000.0
2023-01-13,9179245684.999987,9264654000.0
2023-01-17,9276983915.999998,9294992000.0
2023-01-18,8361290827.999996,9304819000.0
2023-01-19,9743166286.000006,8591660000.0
2023-01-20,9724810790.000015,9392351000.0
2023-01-23,8915818125.999989,9634525000.0
2023-01-24,9089864668.999985,9525440000.0
2023-01-25,9466431282.999992,9302903000.0
2023-01-26,10036246462.999994,9430406000.0
2023-01-27,8722827422.999987,9433717000.0
2023-01-30,10026759608.00001,8722149000.0
2023-01-31,11093679105.99998,9336285000.0
2023-02-01,12520691954.999989,10072121000.0
2023-02-02,10366907652.999987,11705413000.0
2023-02-03,9433493620.999994,10169238000.0
2023-02-06,9870833927.000004,9719984000.0
2023-02-07,8916708773.000015,9425533000.0
2023-02-08,9620036995.999985,9250935000.0
2023-02-09,8441174924.999986,9411863000.0
2023-02-10,7870430065.999994,8721617000.0
2023-02-13,8714448519.00001,8212993500.0
2023-02-14,8854410844.000013,8647888000.0
2023-02-15,9076844260.000013,9042723000.0
2023-02-16,8758880379.000002,9138485000.0
2023-02-17,8936647574.99999,8795103000.0
2023-02-21,8525255877.000006,9174515000.0
2023-02-22,8457342998.999986,8672102000.0
2023-02-23,8190736823.999991,8539038000.0
2023-02-24,8189461475.000008,8431333400.0
2023-02-27,10020000239.000006,8435130000.0
2023-02-28,9023375388.99999,9224875000.0
2023-03-01,9462548073.999987,9160876000.0
2023-03-02,8980552229.000002,9296038000.0
2023-03-03,8800819569.000011,9259249000.0
2023-03-06,9325612139.000008,8784139000.0
2023-03-07,8434124518.9999895,9249947000.0
2023-03-08,9302578932.999994,8627821000.0
2023-03-09,11477498102.000017,9367108000.0
2023-03-10,12509649340.000011,10528870000.0
2023-03-13,10860172084.000002,11133118000.0
2023-03-14,12229041606.999994,10531702000.0
2023-03-15,10993140171.000002,11847301000.0
2023-03-16,16793433291.99998,11211280000.0
2023-03-17,10169177386.999989,11684779000.0
2023-03-20,9571876614.999992,10485181000.0
2023-03-21,9406524116.00001,9668286000.0
2023-03-22,9706880804.000008,9323384000.0
2023-03-23,8758972805.000008,9475066000.0
2023-03-24,8311253132.999989,8902054000.0
2023-03-27,7830138483.999995,8534609400.0
2023-03-28,8523026929.000003,8346197000.0
2023-03-29,8558805915.000007,8489442300.0
2023-03-30,9739818416.999996,8433505000.0
2023-03-31,8959936857.000008,9200503000.0
2023-04-03,8197753005.000001,9507761000.0
2023-04-04,8194732924.000014,8455652000.0
2023-04-05,7241536161.999999,8372568600.0
2023-04-06,7540161527.000009,7706422000.0
2023-04-10,8165536097.0,7513199600.0
2023-04-11,8467787542.999994,8032079400.0
2023-04-12,8350524455.999992,8196640000.0
2023-04-13,8063447447.999996,8554818600.0
2023-04-14,8309537416.9999895,8391657500.0
2023-04-17,8328940108.999994,8576384000.0
2023-04-18,8490412875.000013,8727990000.0
2023-04-19,8272954829.999988,8598709000.0
2023-04-20,8369732902.999988,8441745000.0
2023-04-21,8224617277.000005,8623033000.0
2023-04-24,8884967898.999998,8522604000.0
2023-04-25,9190877846.999996,9196538000.0
2023-04-26,9129048664.999996,9323171000.0
2023-04-27,9482054078.000008,9121159000.0
2023-04-28,8582047462.999998,9382932000.0
2023-05-01,10040318993.999996,8652111000.0
2023-05-02,10051979657.000006,9252999000.0
2023-05-03,9657329728.0,9607330000.0
2023-05-04,8658430640.000015,9799621000.0
2023-05-05,7872009901.0000105,8967254000.0
2023-05-08,7946460166.999988,8094335000.0
2023-05-09,9031763103.000004,8333916000.0
2023-05-10,8253877231.9999895,8744504000.0
2023-05-11,7664098264.000009,8247167000.0
2023-05-12,7537012722.000008,8038992000.0
2023-05-15,7747499105.999988,7667100000.0
2023-05-16,8487308287.000002,7921895000.0
2023-05-17,8527230236.000002,8298290700.0
2023-05-18,8013125366.999996,8312770000.0
2023-05-19,8015412986.999988,8266932000.0
2023-05-22,8484843568.000001,8387609000.0
2023-05-23,7923828586.9999895,8654900000.0
2023-05-24,8822046376.999996,8297784300.0
2023-05-25,8153436456.999991,9008190000.0
2023-05-26,9089207659.999996,8330880500.0
2023-05-30,12198245853.999979,8924154000.0
2023-05-31,9021156523.000013,10343515000.0
2023-06-01,8872920598.999994,9260715000.0
2023-06-02,8133662788.000008,9263224000.0
2023-06-05,8852853041.0,8256217000.0
2023-06-06,9822126827.000008,9128364000.0
2023-06-07,8305704544.999997,9472934000.0
2023-06-08,8217091745.000006,8644771000.0
2023-06-09,8664832756.000008,8435194000.0
2023-06-12,9811849138.000013,8735202000.0
2023-06-13,9999878355.000004,9256423000.0
2023-06-14,9885914451.999998,9545956000.0
2023-06-15,15178987096.999985,9892241000.0
2023-06-16,9346443323.000002,10411307000.0
2023-06-20,8915313207.0,9798237000.0
2023-06-21,8032302468.9999895,9135697000.0
2023-06-22,14479918185.00001,8177277000.0
2023-06-23,7903404665.000008,9431378000.0
2023-06-26,8654041643.000008,8348585000.0
2023-06-27,8286836299.000001,8525823500.0
2023-06-28,8078068423.00001,7975701500.0
2023-06-29,8561690705.000008,8355387000.0
2023-06-30,4942832911.999992,8564712400.0
2023-07-03,8971728613.000008,5365336600.0
2023-07-05,9849753273.999992,7200637400.0
2023-07-06,8774362994.000008,8638705000.0
2023-07-07,8709337655.000008,7617467400.0
2023-07-10,8482091764.999994,8758308000.0
2023-07-11,9203155728.999998,8673012000.0
2023-07-12,9066341401.999996,9182655000.0
2023-07-13,9012714579.999985,9334060000.0
2023-07-14,8176323931.000001,9310500000.0
2023-07-17,8925428349.99999,8422590000.0
2023-07-18,9301331303.999994,9130646000.0
2023-07-19,8909553385.000008,9271832000.0
2023-07-20,9029830747.000002,9017353000.0
2023-07-21,7918720989.9999895,9246930000.0
2023-07-24,8363646677.999995,8446464000.0
2023-07-25,8248240902.000011,8424469500.0
2023-07-26,9691412055.0,8318099000.0
2023-07-27,8422034754.999999,9249964000.0
2023-07-28,9466797926.00001,8772017000.0
2023-07-31,8745800122.000015,9413819000.0
2023-08-01,9850505587.000011,8851953000.0
2023-08-02,10352390350.999992,9446555000.0
2023-08-03,9510713199.0,9706849000.0
2023-08-04,8422733646.000004,9644306000.0
2023-08-07,9265982828.999985,8609836000.0
2023-08-08,9540635177.000008,9223503000.0
2023-08-09,9907229014.000006,9480905000.0
2023-08-10,8437407491.00001,9453494000.0
2023-08-11,8123146708.999997,8704500000.0
2023-08-14,8354567680.9999895,8492681700.0
2023-08-15,10138212939.999992,8565382000.0
2023-08-16,9241404484.999998,9481972000.0
2023-08-17,8712210727.000015,9125231000.0
2023-08-18,8073267176.9999895,8906673000.0
2023-08-21,7792152373.000009,8266569700.0
2023-08-22,7973657897.000007,8241694700.0
2023-08-23,8076361572.000006,8331341300.0
2023-08-24,7281647607.999995,8166537700.0
2023-08-25,6608701773.999993,7600516000.0
2023-08-28,8139154283.999999,7042923000.0
2023-08-29,7497893983.000007,7856858600.0
2023-08-30,8645765529.99999,7490606600.0
2023-08-31,7285582575.000007,8194123300.0
2023-09-01,7924649044.999999,7524830700.0
2023-09-05,7706198131.000012,7858957000.0
2023-09-06,8182921870.999987,7954796500.0
2023-09-07,7459171564.999993,7985611000.0
2023-09-08,8002515025.000014,7716144000.0
2023-09-11,8098440479.000004,8004322000.0
2023-09-12,8421259814.000009,8186859000.0
2023-09-13,8514066944.999994,8483858000.0
2023-09-14,15698669615.999994,8686852000.0
2023-09-15,8156127632.000008,9910598000.0
2023-09-18,8156896680.9999895,8458410000.0
2023-09-19,8179256591.000003,8491386000.0
2023-09-20,8729418710.999996,8209861000.0
2023-09-21,7749528165.999987,8668580000.0
2023-09-22,7371306561.000012,8122172400.0
2023-09-25,8244693228.000004,7669937700.0
2023-09-26,8789172085.00001,8124883500.0
2023-09-27,8633423712.000013,8548473300.0
2023-09-28,9081875178.999985,8571347000.0
2023-09-29,8594112951.999987,9059296000.0
2023-10-02,8690440444.999987,8690100000.0
2023-10-03,8110981387.999987,8614863000.0
