date,actual,pred
2023-01-03,43958357615.00006,38613700000.0
2023-01-04,44127094146.00004,40123572000.0
2023-01-05,45538771422.00004,41526768000.0
2023-01-06,45414990209.0,45871610000.0
2023-01-09,45476455544.99999,45664290000.0
2023-01-10,46419044434.99992,43918770000.0
2023-01-11,45447265307.00006,45281018000.0
2023-01-12,45389332313.99993,46595940000.0
2023-01-13,46285497505.000084,45283440000.0
2023-01-17,46022069946.00007,45546594000.0
2023-01-18,45834950699.00003,46059057000.0
2023-01-19,46940091153.99999,43967463000.0
2023-01-20,47233171331.00004,46456173000.0
2023-01-23,46231187963.99997,47272430000.0
2023-01-24,47342129446.00005,45852107000.0
2023-01-25,49345943883.0,46187760000.0
2023-01-26,52400204554.99996,46079443000.0
2023-01-27,52730865745.00003,45941310000.0
2023-01-30,53441531942.99995,44676637000.0
2023-01-31,53285606261.99993,46716880000.0
2023-02-01,51108635928.99996,50869277000.0
2023-02-02,48207980969.99996,53196984000.0
2023-02-03,46282248241.99998,50341980000.0
2023-02-06,44719184686.99992,48056537000.0
2023-02-07,43562799279.000046,48517124000.0
2023-02-08,43500501349.999985,47159410000.0
2023-02-09,42957308613.99995,45852107000.0
2023-02-10,43275014068.00005,45048517000.0
2023-02-13,44341231576.999954,41987432000.0
2023-02-14,44152038934.999985,43819114000.0
2023-02-15,43754971090.000046,44381750000.0
2023-02-16,42868863654.000046,44627410000.0
2023-02-17,42299444749.99993,44628943000.0
2023-02-21,43382797414.00006,45386076000.0
2023-02-22,43880916925.99996,44481835000.0
2023-02-23,44886122000.99996,44184700000.0
2023-02-24,45675937405.999985,43706343000.0
2023-02-27,46287295500.00008,43599438000.0
2023-02-28,45592907400.00007,45788307000.0
2023-03-01,45003656529.99999,44176610000.0
2023-03-02,44843687389.00006,44223900000.0
2023-03-03,47340633261.99992,46125780000.0
2023-03-06,51049463033.00003,44630475000.0
2023-03-07,52584022977.99996,45504655000.0
2023-03-08,56378940066.00004,44116824000.0
2023-03-09,58069501303.99991,45189562000.0
2023-03-10,63385436493.99996,50826600000.0
2023-03-13,61044964541.000015,51110760000.0
2023-03-14,59756669071.99997,52421610000.0
2023-03-15,56934151580.999985,58700014000.0
2023-03-16,55647892214.00003,56148430000.0
2023-03-17,47613431726.999954,54111450000.0
2023-03-20,45755507473.0,50100396000.0
2023-03-21,44013769342.00001,46185734000.0
2023-03-22,43130272154.99993,45321544000.0
2023-03-23,41982197265.999985,47284965000.0
2023-03-24,42963042877.99994,45451830000.0
2023-03-27,43611726601.99996,44328540000.0
2023-03-28,43979341122.999954,42819723000.0
2023-03-29,43651047117.999985,42742940000.0
2023-03-30,42333777365.00007,42700650000.0
2023-03-31,40134120474.99999,45864090000.0
2023-04-03,39339719715.000015,46545400000.0
2023-04-04,39609754253.00004,43427390000.0
2023-04-05,39765545784.99998,43673430000.0
2023-04-06,40587457071.00002,39115768000.0
2023-04-10,41356832961.00001,38647080000.0
2023-04-11,41520236972.99994,39964398000.0
2023-04-12,41542862304.999954,40697864000.0
2023-04-13,41465292679.00007,43227070000.0
2023-04-14,41771578134.000046,42934300000.0
2023-04-17,41686657993.999954,43969225000.0
2023-04-18,42242685783.99997,44176355000.0
2023-04-19,42943150756.000046,43452658000.0
2023-04-20,43799244591.00001,43719434000.0
2023-04-21,44911565766.00006,44348240000.0
2023-04-24,45268995951.99996,44176270000.0
2023-04-25,46424347047.00006,44853720000.0
2023-04-26,47285448857.00001,45438046000.0
2023-04-27,47813729920.000046,44696070000.0
2023-04-28,46990106481.99996,45368852000.0
2023-05-01,46280068919.99996,44110430000.0
2023-05-02,44186210093.000046,45961030000.0
2023-05-03,43165993539.000015,47228092000.0
2023-05-04,41762541043.00003,46322303000.0
2023-05-05,40768208667.00003,45349646000.0
2023-05-08,40433211488.00001,42600587000.0
2023-05-09,40234250426.99999,41635820000.0
2023-05-10,39689795611.00003,42616435000.0
2023-05-11,39963148614.99993,41674035000.0
2023-05-12,40312175717.99994,40994300000.0
2023-05-15,40790575983.00002,39791665000.0
2023-05-16,41527920444.99998,40182313000.0
2023-05-17,40964440744.99996,41375756000.0
2023-05-18,41259256885.99999,42697716000.0
2023-05-19,41399567976.000046,42710667000.0
2023-05-22,42473362649.00001,43020616000.0
2023-05-23,46186764935.00008,43841937000.0
2023-05-24,47284092870.99996,41528670000.0
2023-05-25,47334967092.999985,43259570000.0
2023-05-26,47315193424.00008,42483740000.0
2023-05-30,47078838805.000015,43691176000.0
2023-05-31,44702719777.99998,48328160000.0
2023-06-01,43987267800.00006,45049803000.0
2023-06-02,43331438945.999954,45899796000.0
2023-06-05,43862608913.99999,43151120000.0
2023-06-06,44821605011.000046,44653380000.0
2023-06-07,44999356539.00007,46113554000.0
2023-06-08,46579566445.99997,43561200000.0
2023-06-09,53541461798.00007,43607257000.0
2023-06-12,54223072365.000084,44665815000.0
2023-06-13,53326536434.000015,46061076000.0
2023-06-14,51358960547.99999,46928896000.0
2023-06-15,55952964281.00003,47160398000.0
2023-06-16,48677381848.999985,49192790000.0
2023-06-20,47984980168.99992,45588140000.0
2023-06-21,47356503260.99993,44547895000.0
2023-06-22,47402269215.00003,42053070000.0
2023-06-23,41484041735.00008,45767614000.0
2023-06-26,38523469982.00007,41959490000.0
2023-06-27,38841156951.99996,40630776000.0
2023-06-28,40404073927.00003,42222576000.0
2023-06-29,41100368498.00002,42563797000.0
2023-06-30,41248015447.99999,44010926000.0
2023-07-03,44787274301.00005,27601865000.0
2023-07-05,45018701416.99999,34904138000.0
2023-07-06,44235289544.99995,39861320000.0
2023-07-07,44473641131.000015,38503383000.0
2023-07-10,43940627406.999954,44459954000.0
2023-07-11,44383963991.99996,44880250000.0
2023-07-12,44482139566.99998,45743964000.0
2023-07-13,44325351549.99993,45827363000.0
2023-07-14,44342467717.000015,45545290000.0
2023-07-17,44084864776.00008,42864423000.0
2023-07-18,43523083104.00001,44939952000.0
2023-07-19,42469992701.99999,45081780000.0
2023-07-20,43251851371.99998,44132560000.0
2023-07-21,42644055379.999985,45218533000.0
2023-07-24,44192132316.0,42124680000.0
2023-07-25,44574285759.99993,42316580000.0
2023-07-26,46176550444.99997,43186770000.0
2023-07-27,46837528741.0,44970990000.0
2023-07-28,47926207185.00005,44451220000.0
2023-07-31,46882142904.999954,45161734000.0
2023-08-01,47402325611.99999,45303652000.0
2023-08-02,47092455201.99992,46479397000.0
2023-08-03,46647293864.99999,46885770000.0
2023-08-04,45573988156.99994,45968572000.0
2023-08-07,45274401220.00002,45492160000.0
2023-08-08,44362986072.00005,46728552000.0
2023-08-09,44960563834.99999,46266057000.0
2023-08-10,44294739306.00005,46455288000.0
2023-08-11,44569542541.99993,44733424000.0
2023-08-14,44519663009.99997,43461943000.0
2023-08-15,43957247702.000015,44793786000.0
2023-08-16,41792692658.99996,45568406000.0
2023-08-17,40627649746.00007,45199823000.0
2023-08-18,39197086626.99994,44824130000.0
2023-08-21,37732521224.0,43685007000.0
2023-08-22,38079523135.000015,42011304000.0
2023-08-23,37603759220.99997,41669345000.0
2023-08-24,38173163178.99998,41314247000.0
2023-08-25,38177098146.00007,38441746000.0
2023-08-28,39493045417.0,36244894000.0
2023-08-29,39060089263.999985,38809293000.0
2023-08-30,39745117152.00005,37265130000.0
2023-08-31,38558523187.00006,39690093000.0
2023-09-01,39275455637.00003,37763994000.0
2023-09-05,39449247071.00005,39115470000.0
2023-09-06,40164308754.000046,39863906000.0
2023-09-07,40495453827.999985,39926837000.0
2023-09-08,48734951879.000015,39542067000.0
2023-09-11,48888564486.0,40516473000.0
2023-09-12,48947020687.999985,41176736000.0
2023-09-13,48705017465.00006,42461626000.0
2023-09-14,48920369231.0,43510880000.0
2023-09-15,40971227781.00002,46396932000.0
2023-09-18,40186406709.99995,42773033000.0
2023-09-19,40274203257.000046,41836663000.0
2023-09-20,40884118751.0,42316743000.0
2023-09-21,40788123752.00001,43420844000.0
2023-09-22,42120470765.000046,41192837000.0
2023-09-25,43343277156.000046,39529853000.0
2023-09-26,43789024373.000046,41743643000.0
2023-09-27,43110833676.00002,42598638000.0
2023-09-28,42283946257.99994,42320860000.0
2023-09-29,41440342797.99994,44685586000.0
2023-10-02,39859712517.99999,44329636000.0
2023-10-03,39108191407.0,44244996000.0
2023-10-04,38863316071.00007,43260887000.0
2023-10-05,39791842866.999954,42146537000.0
2023-10-06,39422943082.00001,42561683000.0
2023-10-09,40237678813.999985,38363880000.0
2023-10-10,40658915749.00004,39381300000.0
2023-10-11,41174270161.99997,39359370000.0
2023-10-12,41534860559.99994,40197720000.0
2023-10-13,42382088421.99998,40497775000.0
2023-10-16,43077127763.99997,40293057000.0
2023-10-17,43287594798.000015,42305440000.0
2023-10-18,43468586646.00008,42773850000.0
2023-10-19,43681185918.00002,44801053000.0
2023-10-20,43238681921.000046,44718498000.0
2023-10-23,42850809998.99995,43971658000.0
2023-10-24,42922047094.00008,44440793000.0
2023-10-25,43177714245.99994,44614558000.0
2023-10-26,43589375486.00008,46009885000.0
2023-10-27,44826086713.99999,44409524000.0
2023-10-30,44740157820.00002,43001176000.0
2023-10-31,44294603439.99998,43810173000.0
2023-11-01,43957323369.00004,44263480000.0
2023-11-02,43460363428.99999,46014100000.0
2023-11-03,42361784208.99995,45994267000.0
2023-11-06,42007738377.00004,42667270000.0
