date,actual,pred
2023-01-03,43958357615.00006,38093443000.0
2023-01-04,44127094146.00004,38964756000.0
2023-01-05,45538771422.00004,40425000000.0
2023-01-06,45414990209.0,45431460000.0
2023-01-09,45476455544.99999,45330970000.0
2023-01-10,46419044434.99992,44242800000.0
2023-01-11,45447265307.00006,45216465000.0
2023-01-12,45389332313.99993,45661065000.0
2023-01-13,46285497505.000084,44761248000.0
2023-01-17,46022069946.00007,45148037000.0
2023-01-18,45834950699.00003,45522366000.0
2023-01-19,46940091153.99999,44016550000.0
2023-01-20,47233171331.00004,45621543000.0
2023-01-23,46231187963.99997,46220456000.0
2023-01-24,47342129446.00005,45165610000.0
2023-01-25,49345943883.0,45445153000.0
2023-01-26,52400204554.99996,44923843000.0
2023-01-27,52730865745.00003,45723464000.0
2023-01-30,53441531942.99995,44528525000.0
2023-01-31,53285606261.99993,45974532000.0
2023-02-01,51108635928.99996,49033163000.0
2023-02-02,48207980969.99996,52876812000.0
2023-02-03,46282248241.99998,50115690000.0
2023-02-06,44719184686.99992,48740655000.0
2023-02-07,43562799279.000046,48621620000.0
2023-02-08,43500501349.999985,46418180000.0
2023-02-09,42957308613.99995,45713523000.0
2023-02-10,43275014068.00005,44561236000.0
2023-02-13,44341231576.999954,42018034000.0
2023-02-14,44152038934.999985,43442300000.0
2023-02-15,43754971090.000046,43980046000.0
2023-02-16,42868863654.000046,41661240000.0
2023-02-17,42299444749.99993,44285608000.0
2023-02-21,43382797414.00006,45425570000.0
2023-02-22,43880916925.99996,44367954000.0
2023-02-23,44886122000.99996,43621980000.0
2023-02-24,45675937405.999985,43210994000.0
2023-02-27,46287295500.00008,42480500000.0
2023-02-28,45592907400.00007,45760545000.0
2023-03-01,45003656529.99999,44379128000.0
2023-03-02,44843687389.00006,44234703000.0
2023-03-03,47340633261.99992,44792422000.0
2023-03-06,51049463033.00003,44192285000.0
2023-03-07,52584022977.99996,45022314000.0
2023-03-08,56378940066.00004,43900430000.0
2023-03-09,58069501303.99991,46218957000.0
2023-03-10,63385436493.99996,50628450000.0
2023-03-13,61044964541.000015,48781300000.0
2023-03-14,59756669071.99997,53348078000.0
2023-03-15,56934151580.999985,58488340000.0
2023-03-16,55647892214.00003,56327240000.0
2023-03-17,47613431726.999954,58987000000.0
2023-03-20,45755507473.0,49914880000.0
2023-03-21,44013769342.00001,43914244000.0
2023-03-22,43130272154.99993,47578810000.0
2023-03-23,41982197265.999985,47873106000.0
2023-03-24,42963042877.99994,44715254000.0
2023-03-27,43611726601.99996,44047122000.0
2023-03-28,43979341122.999954,42162782000.0
2023-03-29,43651047117.999985,42331110000.0
2023-03-30,42333777365.00007,43263693000.0
2023-03-31,40134120474.99999,44616430000.0
2023-04-03,39339719715.000015,45033740000.0
2023-04-04,39609754253.00004,43031450000.0
2023-04-05,39765545784.99998,42942816000.0
2023-04-06,40587457071.00002,38758474000.0
2023-04-10,41356832961.00001,38776443000.0
2023-04-11,41520236972.99994,39156003000.0
2023-04-12,41542862304.999954,40101384000.0
2023-04-13,41465292679.00007,43535370000.0
2023-04-14,41771578134.000046,42049780000.0
2023-04-17,41686657993.999954,43640705000.0
2023-04-18,42242685783.99997,43929830000.0
2023-04-19,42943150756.000046,42892554000.0
2023-04-20,43799244591.00001,43414385000.0
2023-04-21,44911565766.00006,43761234000.0
2023-04-24,45268995951.99996,43546665000.0
2023-04-25,46424347047.00006,41955970000.0
2023-04-26,47285448857.00001,44842512000.0
2023-04-27,47813729920.000046,44757320000.0
2023-04-28,46990106481.99996,44670927000.0
2023-05-01,46280068919.99996,44026794000.0
2023-05-02,44186210093.000046,44128522000.0
2023-05-03,43165993539.000015,46241268000.0
2023-05-04,41762541043.00003,43574247000.0
2023-05-05,40768208667.00003,44534895000.0
2023-05-08,40433211488.00001,42842436000.0
2023-05-09,40234250426.99999,41544120000.0
2023-05-10,39689795611.00003,42572644000.0
2023-05-11,39963148614.99993,42398826000.0
2023-05-12,40312175717.99994,41158046000.0
2023-05-15,40790575983.00002,40111250000.0
2023-05-16,41527920444.99998,40815636000.0
2023-05-17,40964440744.99996,41076640000.0
2023-05-18,41259256885.99999,42836144000.0
2023-05-19,41399567976.000046,42014750000.0
2023-05-22,42473362649.00001,42449883000.0
2023-05-23,46186764935.00008,43667430000.0
2023-05-24,47284092870.99996,41296757000.0
2023-05-25,47334967092.999985,42275197000.0
2023-05-26,47315193424.00008,41893036000.0
2023-05-30,47078838805.000015,43641620000.0
2023-05-31,44702719777.99998,47796740000.0
2023-06-01,43987267800.00006,44810793000.0
2023-06-02,43331438945.999954,43517354000.0
2023-06-05,43862608913.99999,41925812000.0
2023-06-06,44821605011.000046,40890050000.0
2023-06-07,44999356539.00007,42303185000.0
2023-06-08,46579566445.99997,41486310000.0
