date,model,split,yhat
2023-01-02,AR,Split 1,26.23076744525813
2023-01-03,AR,Split 1,26.236885938920064
2023-01-04,AR,Split 1,26.428328032671047
2023-01-05,AR,Split 1,26.51903382384116
2023-01-06,AR,Split 1,26.47015251900831
2023-01-09,AR,Split 1,26.558184164854833
2023-01-10,AR,Split 1,26.624594730660537
2023-01-11,AR,Split 1,26.536495179395477
2023-01-12,AR,Split 1,26.59390283598315
2023-01-13,AR,Split 1,26.633259940561356
2023-01-16,AR,Split 1,26.566219069637377
2023-01-17,AR,Split 1,26.546751135067847
2023-01-18,AR,Split 1,26.618774511615086
2023-01-19,AR,Split 1,26.638917179084984
2023-01-20,AR,Split 1,26.592274042782115
2023-01-23,AR,Split 1,26.661351109576255
2023-01-24,AR,Split 1,26.68060887003016
2023-01-25,AR,Split 1,26.57517887112657
2023-01-26,AR,Split 1,26.62733412322609
2023-01-27,AR,Split 1,26.667857205659125
2023-01-30,AR,Split 1,26.702514368757807
2023-01-31,AR,Split 1,26.64143478538999
2023-02-01,AR,Split 1,26.72470468301528
2023-02-02,AR,Split 1,26.83460505732638
2023-02-03,AR,Split 1,26.969022909819138
2023-02-06,AR,Split 1,26.883040067332054
2023-02-07,AR,Split 1,26.73220398225689
2023-02-08,AR,Split 1,26.833090504577648
2023-02-09,AR,Split 1,26.806119398680146
2023-02-10,AR,Split 1,26.789462314509677
2023-02-13,AR,Split 1,26.707311173940052
2023-02-14,AR,Split 1,26.641307246565344
2023-02-15,AR,Split 1,26.70243491958404
2023-02-16,AR,Split 1,26.680217451305687
2023-02-17,AR,Split 1,26.70089494771885
2023-02-20,AR,Split 1,26.709652105867107
2023-02-21,AR,Split 1,26.716331064717256
2023-02-22,AR,Split 1,26.69644066051722
2023-02-23,AR,Split 1,26.680269746589556
2023-02-24,AR,Split 1,26.700250338923468
2023-02-27,AR,Split 1,26.66466581615441
2023-02-28,AR,Split 1,26.602153835763364
2023-03-01,AR,Split 1,26.71114801318693
2023-03-02,AR,Split 1,26.66802928870793
2023-03-03,AR,Split 1,26.64066596286972
2023-03-06,AR,Split 1,26.65650579284594
2023-03-07,AR,Split 1,26.647651157079846
2023-03-08,AR,Split 1,26.63798012303738
2023-03-09,AR,Split 1,26.5741483805428
2023-03-10,AR,Split 1,26.664540726195668
2023-03-13,AR,Split 1,26.79938334673896
2023-03-14,AR,Split 1,26.863904781429962
2023-03-15,AR,Split 1,26.834230787788435
2023-03-16,AR,Split 1,26.893558985778792
2023-03-17,AR,Split 1,26.927937993604143
2023-03-20,AR,Split 1,27.169662277239826
2023-03-21,AR,Split 1,26.855523883821963
2023-03-22,AR,Split 1,26.7894570820462
2023-03-23,AR,Split 1,26.808989650715905
2023-03-24,AR,Split 1,26.814415767927265
2023-03-27,AR,Split 1,26.69719226587489
2023-03-28,AR,Split 1,26.60569523079862
2023-03-29,AR,Split 1,26.543332746800647
2023-03-30,AR,Split 1,26.584057228023998
2023-03-31,AR,Split 1,26.55864718745813
2023-04-03,AR,Split 1,26.65074427282146
2023-04-04,AR,Split 1,26.63540568087083
2023-04-05,AR,Split 1,26.575793809054687
2023-04-06,AR,Split 1,26.61525104006023
2023-04-07,AR,Split 1,26.563881709238874
2023-04-10,AR,Split 1,26.539884987587527
2023-04-11,AR,Split 1,26.49327269545817
2023-04-12,AR,Split 1,26.49403065797976
2023-04-13,AR,Split 1,26.545193645907172
2023-04-14,AR,Split 1,26.54249926735453
2023-04-17,AR,Split 1,26.499066987511465
2023-04-18,AR,Split 1,26.50432943647146
2023-04-19,AR,Split 1,26.52551344804825
2023-04-20,AR,Split 1,26.51014391142797
2023-04-21,AR,Split 1,26.5667369947813
2023-04-24,AR,Split 1,26.551418981075372
2023-04-25,AR,Split 1,26.48434709458377
2023-04-26,AR,Split 1,26.579245482766183
2023-04-27,AR,Split 1,26.64575480080435
2023-04-28,AR,Split 1,26.679680753244735
2023-05-01,AR,Split 1,26.661610090700155
2023-05-02,AR,Split 1,26.584018637147118
2023-05-03,AR,Split 1,26.667954714676753
2023-05-04,AR,Split 1,26.698629503427888
2023-05-05,AR,Split 1,26.690317372581873
2023-05-08,AR,Split 1,26.65158069727711
2023-05-09,AR,Split 1,26.557708226503895
2023-05-10,AR,Split 1,26.538514043073643
2023-05-11,AR,Split 1,26.638356319075065
2023-05-12,AR,Split 1,26.592420535508285
2023-05-15,AR,Split 1,26.512120869873325
2023-05-16,AR,Split 1,26.49126891681417
2023-05-17,AR,Split 1,26.54546186131591
2023-05-18,AR,Split 1,26.60373420583086
2023-05-19,AR,Split 1,26.65361263390902
2023-05-22,AR,Split 1,26.62732882134622
2023-05-23,AR,Split 1,26.595984662522294
2023-05-24,AR,Split 1,26.660933805208785
2023-05-25,AR,Split 1,26.661551047860183
2023-05-26,AR,Split 1,26.786674455964615
2023-05-29,AR,Split 1,26.769625218211523
2023-05-30,AR,Split 1,26.766782647117036
2023-05-31,AR,Split 1,26.810212926374195
2023-06-01,AR,Split 1,27.051911186035763
2023-06-02,AR,Split 1,26.862421121827683
2023-06-05,AR,Split 1,26.814682097418032
2023-06-06,AR,Split 1,26.77984151046692
2023-06-07,AR,Split 1,26.7580770892108
2023-06-08,AR,Split 1,26.838639599294385
2023-06-09,AR,Split 1,26.727445584027862
2023-06-12,AR,Split 1,26.687713316638288
2023-06-13,AR,Split 1,26.713922753307354
2023-06-14,AR,Split 1,26.79191447942064
2023-06-15,AR,Split 1,26.837545790532705
2023-06-16,AR,Split 1,26.83271513522371
2023-06-19,AR,Split 1,27.09585227268674
2023-06-20,AR,Split 1,27.1729736452395
2023-06-21,AR,Split 1,26.886616983286167
2023-06-22,AR,Split 1,26.85018766868346
2023-06-23,AR,Split 1,26.815968536344382
2023-06-26,AR,Split 1,27.019653817871923
2023-06-27,AR,Split 1,26.76552313650862
2023-06-28,AR,Split 1,26.70607819308043
2023-06-29,AR,Split 1,26.734210783547088
2023-06-30,AR,Split 1,26.684668432311557
2023-07-03,AR,Split 1,26.743494924841112
2023-07-04,AR,Split 1,26.37301782672705
2023-07-05,AR,Split 1,26.283463250919908
2023-07-06,AR,Split 1,26.578765039601524
2023-07-07,AR,Split 1,26.622107380043296
2023-07-10,AR,Split 1,26.549960145996394
2023-07-11,AR,Split 1,26.58905908963667
2023-07-12,AR,Split 1,26.631223528684718
2023-07-13,AR,Split 1,26.74068389423335
2023-07-14,AR,Split 1,26.742052571465393
2023-07-17,AR,Split 1,26.750413909254927
2023-07-18,AR,Split 1,26.72115733646083
2023-07-19,AR,Split 1,26.7969573759545
2023-07-20,AR,Split 1,26.84705661120459
2023-07-21,AR,Split 1,26.866410680465524
2023-07-24,AR,Split 1,26.980750986985733
2023-07-25,AR,Split 1,26.780233792968872
2023-07-26,AR,Split 1,26.75513919043845
2023-07-27,AR,Split 1,26.828699895073306
2023-07-28,AR,Split 1,26.89182190524876
2023-07-31,AR,Split 1,26.80317024129979
2023-08-01,AR,Split 1,26.772305490318697
2023-08-02,AR,Split 1,26.73960089238851
2023-08-03,AR,Split 1,26.837161238035158
2023-08-04,AR,Split 1,26.8007844180038
2023-08-07,AR,Split 1,26.798233123903103
2023-08-08,AR,Split 1,26.705468885967477
2023-08-09,AR,Split 1,26.72664320797511
2023-08-10,AR,Split 1,26.727079823654257
2023-08-11,AR,Split 1,26.71970275191877
2023-08-14,AR,Split 1,26.620004511728506
2023-08-15,AR,Split 1,26.62971144197478
2023-08-16,AR,Split 1,26.62849113238202
2023-08-17,AR,Split 1,26.627785233812524
2023-08-18,AR,Split 1,26.665329884482727
2023-08-21,AR,Split 1,26.682622657785036
2023-08-22,AR,Split 1,26.675828146253494
2023-08-23,AR,Split 1,26.61448512478004
2023-08-24,AR,Split 1,26.665392052833536
2023-08-25,AR,Split 1,26.72013601231426
2023-08-28,AR,Split 1,26.658451354895014
2023-08-29,AR,Split 1,26.53483531509419
2023-08-30,AR,Split 1,26.640527932260596
2023-08-31,AR,Split 1,26.629019014333917
2023-09-01,AR,Split 1,26.707500284734273
2023-09-04,AR,Split 1,26.61532995855552
2023-09-05,AR,Split 1,26.601348257149706
2023-09-06,AR,Split 1,26.64194639267541
2023-09-07,AR,Split 1,26.64149021734431
2023-09-08,AR,Split 1,26.6798885797858
2023-09-11,AR,Split 1,26.603096395772134
2023-09-12,AR,Split 1,26.637386561269444
2023-09-13,AR,Split 1,26.635465043485194
2023-09-14,AR,Split 1,26.639945542619046
2023-09-15,AR,Split 1,26.669762614109555
2023-09-18,AR,Split 1,27.03508029302197
2023-09-19,AR,Split 1,26.67199257033638
2023-09-20,AR,Split 1,26.59003924850571
2023-09-21,AR,Split 1,26.646454803069155
2023-09-22,AR,Split 1,26.753158204794076
2023-09-25,AR,Split 1,26.640776496801344
2023-09-26,AR,Split 1,26.521971311311095
2023-09-27,AR,Split 1,26.595360461486752
2023-09-28,AR,Split 1,26.66922078952743
2023-09-29,AR,Split 1,26.647088042092072
2023-10-02,AR,Split 1,26.66157129165053
2023-10-03,AR,Split 1,26.653306891966178
2023-10-04,AR,Split 1,26.668588240808663
2023-10-05,AR,Split 1,26.660223113086534
2023-10-06,AR,Split 1,26.627297759481046
2023-10-09,AR,Split 1,26.70585013086298
2023-10-10,AR,Split 1,26.58217428662074
